Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447581871_491045303353192_5079297946007165061_n.heic?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=j3G2KdcwuS4Q7kNvgG2hWvv&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDcI8zbg0iGWnwxOSY1N8sol4eQ-53HHFRa9JDZMfWUQg&oe=6663FA45&_nc_sid=49ed71,#buddhism,buddhism,
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/445228350_889888156496803_1960954982903202653_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=RjSNaCpTBREQ7kNvgHOKu7o&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYDBjj1UIjKhB85ZgG27BS3yQGlLHF3ncMqhYFgNLIYojw&oe=6664046C&_nc_sid=49ed71,"¡Queridos amigos!\n\nLos invitamos a nuestras charlas introductorias, cada lunes a las 7:15 pm. Son una excelente oportunidad para aprender más sobre el budismo y las enseñanzas de nuestra escuela.\n\nSeguidamente a las 8pm tendremos una meditación guiada.\n\nLa entrada es libre.\n\nEstamos en la Av. Alfredo Franco 222, Surco.\nNuestros horarios:\nLunes 7.15 p.m. charla introductoria\nLunes y Jueves 8:00 p.m. meditación guiada\nSábados 12:30 p.m. meditación guiada\n\nMás Info:\nwww.caminodeldiamante.pe\nlama-ole-nydahl.org\ndiamondway-buddhism.org\n\n#Budismo #Buddhism #Diamondwaybuddhism #caminodeldiamante #lamaolenydahl #lima #peru #meditacion #meditation #KarmaKagyu #budismoenperu #hannanydahl #meditaciónbudista #meditacionlima","meditation, KarmaKagyu, lima, meditaci, caminodeldiamante, lamaolenydahl, peru, meditacion, hannanydahl, Buddhism, meditacionlima, budismoenperu, Budismo, Diamondwaybuddhism",
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447468687_1483461285917138_7536473919414182110_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=A3dcGz-etjoQ7kNvgGW3ju-&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCHBMfkmtft0H75IR603UUCq0Su5wbGkRFmIt9SgSPv6A&oe=666404DC&_nc_sid=49ed71,"Para compreender verdadeiramente Ichinen Sanzen e a obtenção do estado de Buda, é essencial reconhecer o Buda histórico como uma manifestação do Buda Eterno. No capítulo de Expedientes, parte da explicação foi abordada, mas a plena realização do estado de Buda depende da revelação do Buda Eterno no capítulo da Duração da Vida do Tathagata. Sem isso, nossa natureza búdica não pode ser plenamente ativada.\n\nNichiren Shonin compara a necessidade do Buda Eterno à de um ovo necessitando de um pássaro progenitor para não apodrecer. Quando o Buda Eterno, que alcançou a iluminação no passado remoto, é revelado, compreendemos nossa conexão eterna com ele, como filhos do Buda Shakyamuni, o Buda Eterno.\n\nIndependentemente de nossas condições, o Buda Eterno nos protege com sua compaixão e sabedoria, possibilitando que nos tornemos praticantes de Hokke. Nossa existência é sustentada pelas bênçãos contínuas do Buda Eterno. Mesmo em dificuldades, devemos ser gratos pela compaixão infinita do Buda Eterno, cuja conexão conosco nunca se rompe.\n\nO verdadeiro significado de Ichinen Sanzen, a essência do Sutra do Lótus, está na revelação do Buda Eterno. Nichiren Shonin nos orienta a considerar profundamente esse significado ao avaliar todos os sutras.\n\nPor Reverendo Sinyou Tsuchiya\n\n#kemponhokkeshu #kemponhokke #budismonichiren #budismonitiren #budismo #buddhism #buddha #buda #nichirenbuddhism #nitirendaishonin #nichiren #nichirendaishonin #nichirenshonin\n#meditacao #namumyohorenguekyo #nmrk #odaimoku #daimoku #nitiren #nitirendaishonin #budismodenichirendaishonin #budismodenichiren #budismodenichirendaishonin","nmrk, daimoku, namumyohorenguekyo, nichirenshonin, nitirendaishonin, buddha, nichiren, odaimoku, meditacao, kemponhokkeshu, budismodenichirendaishonin, buda, nitiren, budismonitiren, buddhism, nichirenbuddhism, kemponhokke, budismo, nichirendaishonin, budismodenichiren, budismonichiren",
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447779086_1016933123383557_2231426276623176511_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Gt9-_-oplYIQ7kNvgGPsR4d&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYD4awumYl_c24innbGtjpp0byxTzyJDagQIjYzPjQmKAA&oe=66640072&_nc_sid=49ed71,"No Budismo Theravada, a maioria das pessoas se torna monge em média em três meses, aprendendo os ensinamentos básicos do Budismo Hinayana, e praticando meditação em locais tranquilos. Você poderá controlar sua própria mente e obter paz enquanto continuar sendo um monge Theravada. No entanto, você terá que voltar ao mundo cheio de desejos mundanos novamente depois de três meses.\nVocê não pode escapar do sofrimento que advém de estar separado daqueles que amamos, do sofrimento que advém de estar junto com aqueles a quem odiamos, do sofrimento que advém do fato de não podermos ter o que queremos, do sofrimento que advém do fato de estarmos apegados aos cinco agregados elementares do corpo e da mente.\nVocê pode ter sido capaz de controlar sua própria mente enquanto está sentado em silêncio, mas é difícil controlar a mente de outras pessoas no mundo real. Você tem que ganhar a vida e lidar com situações difíceis. O Budismo Theravada, Hinayana, é importante como o básico do Budismo. Eu já aprendi e pratiquei esse budismo básico. Eu acho que você deveria aprender o Mahayana, com o Sutra do Lótus, que pode te guiar a superar as dificuldades do mundo real como um Bodhisattva, sem dizer qual é o verdadeiro Budismo ou qual é o superior. Ambos os crentes do Theravada e do Sutra do Lótus adoram o Buda Shakyamuni, Gautama, para sempre.\nㅤ\nPor Reverendo Sinyou Tsuchiya\n\n#kemponhokkeshu #kemponhokke #budismonichiren #budismonitiren #budismo #buddhism #buddha #buda #nichirenbuddhism #nitirendaishonin #nichiren #nichirendaishonin #nichirenshonin\n#meditacao #namumyohorenguekyo #nmrk #odaimoku #daimoku #nitiren #nitirendaishonin #budismodenichirendaishonin #budismodenichiren #budismodenichirendaishonin","nmrk, daimoku, namumyohorenguekyo, nichirenshonin, nitirendaishonin, buddha, nichiren, odaimoku, meditacao, kemponhokkeshu, budismodenichirendaishonin, buda, nitiren, budismonitiren, buddhism, nichirenbuddhism, kemponhokke, budismo, nichirendaishonin, budismodenichiren, budismonichiren",
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447651099_1244024203701067_3324331759385341949_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=vknyisYqYoIQ7kNvgHkv6fe&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYApsyXiDRcxzFywK30CL2Ji4bk3Y2nCf9zSE01H_44BCg&oe=66640553&_nc_sid=49ed71,"Aqueles que praticam o Sutra do Lótus não são seres humanos comuns. Muitos deles já alcançaram uma grande compreensão e vieram a este mundo como seres humanos para propagar o Sutra do Lótus. Aqueles que estão divulgando o Sutra do Lótus já obtiveram uma grande virtude e também alcançaram um bom resultado que os permite nascer livremente em qualquer lugar. No entanto, por causa da compaixão pelas pessoas, eles abandonaram a terra pura e adiaram de se tornarem Budas, e estão propagando o Sutra do Lótus neste mundo mau, apesar de sofrerem perseguições. Assim, o praticante do Sutra do Lótus é uma pessoa realmente nobre. Portanto, é dito que você deve fazer oferendas a ele como se estivesse fazendo isso ao Buda.\nㅤ\nPor Reverendo Sinyou Tsuchiya\n\n#kemponhokkeshu #kemponhokke #budismonichiren #budismonitiren #budismo #buddhism #buddha #buda #nichirenbuddhism #nitirendaishonin #nichiren #nichirendaishonin #nichirenshonin\n#meditacao #namumyohorenguekyo #nmrk #odaimoku #daimoku #nitiren #nitirendaishonin #budismodenichirendaishonin #budismodenichiren #budismodenichirendaishonin","nmrk, daimoku, namumyohorenguekyo, nichirenshonin, nitirendaishonin, buddha, nichiren, odaimoku, meditacao, kemponhokkeshu, budismodenichirendaishonin, buda, nitiren, budismonitiren, buddhism, nichirenbuddhism, kemponhokke, budismo, nichirendaishonin, budismodenichiren, budismonichiren",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/445695302_941146218021786_7853070084322536652_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=9LC2KIKlZjIQ7kNvgFGDxAE&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYByzXZ0HvGKxb7GXJYBJwXDVpi_O9y3gx_7LdeHS2iEeg&oe=6664230F&_nc_sid=49ed71,"~\nBiographies of the Seventeen Indian Buddhist Masters ~ known as the Nalanda Masters\n\n17. Atisha (980-1054 C.E.)\n\nContinuation\n\nInviting Atisha to Tibet\n\nAlthough the Buddha Dharma had been brought to Tibet several centuries earlier through the efforts primarily of Guru Rinpoche Padmasambhava (Gu-ru Rin-po-che Pad-ma ‘byung-gnas) and several others, this early flowering suffered a great setback due to repression by King Langdarma (Glang-dar-ma) (863 – 906 C.E.). Few practitioners were left and afterwards many points were no longer properly understood. Many felt that the practices of ethical self-discipline and tantra were mutually exclusive and that enlightenment could be achieved through intoxication and various forms of sexual misconduct. Others believed that likewise contradictory were the teachings of Hinayana and Mahayana, leading respectively to liberation and enlightenment.\n\nTo be continued.\n\nDownload more information about the Nalanda Tradition and the seventeen Nalanda Masters: https://www.dropbox.com/sh/y4w2v4ss0toftk1/AADwe2pnp6kF-LGdavVh_8t5a?dl=0\n(Folder ""Dharma scriptures"", subfolder ""Nalanda Tradition"")\n\nThe names of the seventeen Nalanda Masters are:\n01. Nagarjuna (one of the Six Ornaments)\n02. Aryadeva (one of the Six Ornaments)\n03. Buddhapalita\n04. Bhavaviveka\n05. Chandrakirti\n06. Shantideva\n07. Shantarakshita\n08. Kamalashila\n09. Asanga (one of the Six Ornaments)\n10. Vasubhandu (one of the Six Ornaments)\n11. Dignaga (one of the Six Ornaments)\n12. Dharmakirti (one of the Six Ornaments)\n13. Haribhadra\n14. Vimuktisena\n15. Gunaprabha (one of the Two Supreme Ones)\n16. Shakyaprabha (one of the Two Supreme Ones)\n17. Atisha\n\nThanks to: Tibethaus Deutschland བོད་ཁང་། 西藏之家\nFacebook: https://www.facebook.com/TibethausDE/\n\nThanks to: Dagyab Rinpoche\nInternet: http://www.dagyab-rinpoche.com/\n~\n#awakening #awareness #buddha #buddhism #buddhist #compassion #dalailama #dharma #enlightenment #gratitude #happines #happiness #happy #humanity #innerpeace #inspiration #inspirational #inspirationalquotes #joy #kindness #kindnessmatters #love #meditation #mind #mindfulness #motivation #perspective #selfcare #spiritualawakening #wisdom","meditation, kindnessmatters, inspirational, kindness, compassion, inspiration, humanity, innerpeace, wisdom, buddha, enlightenment, happines, perspective, awareness, happiness, dalailama, buddhist, love, buddhism, selfcare, awakening, motivation, mind, joy, inspirationalquotes, spiritualawakening, gratitude, dharma, happy, mindfulness",
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/445772171_941144008022007_3748280599099483131_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=stmqj9l9VIIQ7kNvgGlwXet&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAIHx3dejK_Te4D6B2dvCjVEX_JBwMTLXFftm6OIO0Haw&oe=66642EAA&_nc_sid=49ed71,"~\nLama Tsongkhapa - Life Story in 15 Thangkas\n\nChintamani Rosary Spreading the Buddha’s Teachings; Great Ocean of Benefit and Joy\n\nA Method for Depicting the Sacred Biography of the Great Jetsun Tsongkhapa on Painted Cloth in One Hundred and Fifty-Three Parts\n\nBy Kunkhyen Jamyang Shepai Dorje\n\nContinuation\n\nThangka 4:\n…\n(12) In autumn Tsongkhapa accepted many offerings which had been sent from his birthplace. In Maldro Lhalung, he trained his mind in tantra under the guidance of Lama Sonam Dragpa. He stayed in strict retreat and studied a commentary on pramana called Treasury of Reasonings. Upon developing an extraordinary realization, tears streamed from his eyes and his hairs continuously stood on end.\n\nTo be continued, always on Tuesdays.\n\nTranslated by Ven. Tenzin Legtsok\n\nThanks to: FPMT Education Services (http://www.fpmt.org)\n\nDownload full text: https://www.dropbox.com/sh/y4w2v4ss0toftk1/AADwe2pnp6kF-LGdavVh_8t5a?dl=0\n(Folder ""Dharma scriptures"", subfolder ""Tsongkhapa"")\n\nLife of Lama Tsongkhapa Through Thangkas by Ven. Legtsok on YouTube: https://youtube.com/playlist?list=PLULNrUA0R-pFxG11ub8aOFqP2cBuxJZUB\n~\n#awakening #awareness #buddha #buddhism #buddhist #compassion #tsongkhapa #dharma #enlightenment #gratitude #happines #happiness #happy #humanity #innerpeace #inspiration #inspirational #inspirationalquotes #joy #kindness #kindnessmatters #love #meditation #mind #mindfulness #motivation #perspective #selfcare #spiritualawakening #wisdom","meditation, kindnessmatters, inspirational, kindness, compassion, inspiration, humanity, innerpeace, wisdom, buddha, enlightenment, happines, perspective, tsongkhapa, awareness, happiness, buddhist, love, buddhism, selfcare, awakening, motivation, mind, joy, inspirationalquotes, spiritualawakening, gratitude, dharma, happy, mindfulness",
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/286232924_791147432269815_9108614235013594758_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=pELrrXR-GVoQ7kNvgHRTcOd&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYCspq8gvqCRNiyZUGd6HURAOhDn7pYOiD0BNgO8ACTJlw&oe=66641015&_nc_sid=49ed71,"~\nPraise of the Twelve Acts of the Buddha\nby Jigme Lingpa\n\nContinuation\n…\nThrough three incalculable aeons in samsaric existence,\nYou sought the meaningful, by binding all your thoughts\nWith the rope of accumulating merit and wisdom.\nThen, beneath the bodhi tree, you put the māras to flight,\nAnd attained enlightenment, as all the buddhas do.\nOn the ship of the three turnings of the Wheel of Dharma, you save\nBeings who rush into saṃsāra’s bottomless and endless abyss,\nAnd ferry them to the perfect levels of liberation and omniscience:\nI bow to you in homage!\n…\nTo be continued\n\nThis is the word of Rigdzin Jigme Lingpa.\n\nDownload full text: https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/praise-twelve-acts-buddha\n\nThanks to: Rigpa Translations\n\nThe twelve great acts of Buddha Shakyamuni are:\n\n1. The descent from Tushita, the Joyous pure land,\n2. Entering the mother’s womb,\n3. Taking birth,\n4. Becoming skilled in various arts,\n5. Delighting in the company of royal consorts,\n6. Developing renunciation and becoming ordained,\n7. Practicing austerities for six years,\n8. Proceeding to the foot of the Bodhi tree,\n9. Overcoming Mara’s hosts ,\n10. Becoming fully enlightened,\n11. Turning the wheel of Dharma and\n12. Passing into Mahaparinirvana.\n\nFor further elaboration and information on the twelve deeds of the Buddha, see: Encyclopedia Buddhica Fall 2019 (https://encyclopediabuddhicaf19.andrewquintman.wescreates.wesleyan.edu/blog/t/the-twelve-acts/)\n~\n#awakening #awareness #buddha #buddhism #buddhist #compassion #enlightenment #gratitude #happines #happiness #happy #humanity #innerpeace #inspiration #inspirational #inspirationalquotes #joy #kindness #kindnessmatters #love #meditation #mind #mindfulness #motivation #perspective #selfcare #spiritualawakening #theravada #theravadabuddhism #wisdom","meditation, kindnessmatters, inspirational, kindness, compassion, inspiration, humanity, innerpeace, wisdom, buddha, enlightenment, happines, perspective, awareness, happiness, buddhist, love, buddhism, selfcare, theravadabuddhism, awakening, motivation, mind, joy, inspirationalquotes, spiritualawakening, gratitude, theravada, happy, mindfulness",
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/445648471_122165619890061567_3727668252632634519_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Vsbxp8jBAVgQ7kNvgGpvSTl&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAdqWTX-Bm4tjUrrCvtvj2LOOXcwoWyjmnLCtCnkfW_mw&oe=66642C61&_nc_sid=49ed71,#bodhinature菩萨自然基金会 #仁泽法师 #易明之光 #Buddhism #Buddha #meditation #dharma #Buddhist #buddhismquotes #buddhaquotes #wisdom #practice #每日法语 #正能量语录 #佛法 #gururenze,"meditation, wisdom, Buddhist, buddhaquotes, practice, gururenze, Buddha, bodhinature, Buddhism, dharma, buddhismquotes",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447454118_3888749158078562_9031655224626454404_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=HzoRVFPN-WUQ7kNvgFIkk8J&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAcSNYE-VMt8KPdGaJA_dowWpO7TQ7QF_3WEftpZFtpaA&oe=666409E8&_nc_sid=49ed71,"This year’s Georgia Buddhist Summer Camp is a wrap! And… drumroll… announcing next year’s GBSC date: May 23-26, Memorial Day Weekend, at Hard Labor Creek State Park!\n\n#atlantabuddhism #georgia #buddhist #summer #camp #buddhism #family","summer, georgia, atlantabuddhism, family, buddhist, camp, buddhism",
