Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447041452_18188322115289139_610931017418579344_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=qzCknej5j4AQ7kNvgH3UqL5&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYCziMqoxzY4mDn-Maxv3JEZGMxy_FnqZYyfqVN_nJ57kg&oe=66638A70&_nc_sid=49ed71,The link 🔗 \nHere ~> @maywebloom_ \n\n#meditation #onlinemeditation #tameyouranxiety #aureliebou #audiomeditation #maywebloom,"audiomeditation, onlinemeditation, aureliebou, maywebloom, tameyouranxiety, meditation",maywebloom_
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447182392_1110791736818964_6042375039824817028_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-vydwzCeueIQ7kNvgGQ2UyW&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCVPja_ljcsxmVCoOx7b4C9af2gJekDu6qvj8rg431vCg&oe=66635447&_nc_sid=49ed71,"Meet 𝒀𝒂𝒔𝒖 and 𝒀𝒖𝒍𝒂 who live on Breaker Rock Beach!\n\n🔵 𝒀𝒂𝒔𝒖 just loves rocks because they make her feel safe. 🟠 𝒀𝒖𝒍𝒂 loves sand because she has more control over it. \n\n🪨 What will they discover as they battle the half truths of the world with the rock solid truth of Jesus? Find out on 𝑶𝒏 𝑻𝒉𝒆 𝑹𝒐𝒄𝒌 𝑴𝒆𝒅𝒊𝒕𝒂𝒕𝒊𝒐𝒏𝒔 𝑾𝒊𝒕𝒉 𝒀𝒂𝒔𝒖, 𝒀𝒖𝒍𝒂 𝒂𝒏𝒅 𝒀𝒐𝒖!\n\nYes, you're invited too!\n\n🌊 Crashing onto YouTube 𝑱𝒖𝒏𝒆 10𝒕𝒉\n\n○ YouTube: https://www.youtube.com/channel/UCvCUCwCYFUaWfwqADfcs4FA\n\n○ Art by @epicoxygenuser\n○ Title and info me\n\n@lifewayvbs \n@omi.raice\n#audiomeditation #vbs2024 #yasuandyula #ontherockmeditatons","audiomeditation, vbs2024, ontherockmeditatons, yasuandyula","omi.raice, epicoxygenuser, lifewayvbs"
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/446098828_1205202320860168_8402495268816376947_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=YfS5jKokoCsQ7kNvgFL7YdS&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYC4xVUo6hwpa4ayHoTTWBRgH711pcty1JT6hBeZfV5irA&oe=66636341&_nc_sid=49ed71,"Superbooth is great for making new friends. Vincent & Vincent teamed up to found @cymaforma, an analog synth instrument manufacturer based in Paris. Their product philosophy is unique and inspiring. They bring meaning and poetry to the synth world, mixing sounds and visualization on venerable Vectrex consoles. Visit cymaforma.com\n\n#analogsynth #dronesynth #analogpoetry #contemplative #audiopoetry #vectrex #audiomeditation #soundwaves #formandfunction","audiopoetry, audiomeditation, vectrex, formandfunction, soundwaves, analogsynth, analogpoetry, dronesynth, contemplative",cymaforma
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/440357201_965247485607344_3580276545742023667_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=p0bxtbtpjlsQ7kNvgE0DIPA&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYDRmbw5gH6jkJZJ0YpiQf4tytldZqDHWYKSLpy86Sym9Q&oe=66636F1F&_nc_sid=49ed71,"What is Fibromyalgia ?\nFibromyalgia syndrome (FMS) is a chronic syndrome characterized by chronic fatigue and  widespread pain with specific tender areas.\nHere are some of the most common symptoms of Fibromyalgia :\n 😬 Low resistance to pain, tender points\n 😬Chronic muscular and skeletal pain\n 😬Muscle burn, twitching, tightness.\n 😬Draining fatigue and tiredness\n 😬Insomnia or poor sleep quality\n 😬Depression, stress, anxiety\n 😬Concentration and focus issues “fibro-fog”\n 😬Headaches, migraines.\n 😬Irritable Bowel Syndrome\n 😬Increased Menstrual Cramps\n 😬Chronic fatigue\n\nInfrared therapy is scientifically proven to alleviate distress caused by numerous health issues and diseases including arthritis, chronic fatigue, fractures, fibromyalgia, joint, muscular and nerve pain, inflammation and wounds. Data also shows that patients undergoing the mild heat therapy treatment and maintaining it are more prone to develop a more active and social lifestyle.\n\nOur Full Spectrum Red10 Pro Infrared Sauna & Wellness Deluxe Cocoon Provide Multidimensional Healing energies \n~ Near, Mid and Far Infrared ~\n~ Ceramic Heat ~\n~ Chromo - Red Lights ~\n~ Jade & Tourmaline Gem Stones ~\n~ Pure Himalayan Salt Halo Therapy ~\n~ Healing and Relaxing Audio\n~  Visual Meditation ~\n~ Pure Essential Oils ~\n\nThe Next Gen Wellness Deluxe Cocoon also includes an ergonomic vibrating massage bed.\n\nLike and follow us for more heal better and feel better tips!\n\nWant to feel better and heal better now?\n\nOur professional full spectrum infrared equipment has 12 different healing technologies incorporated to ensure you feel better and heal fast!\n\nBook now to enjoy the incredible relaxing, restoring and rejuvenating properties of our DELUXE FULL SPECTRUM INFRARED COCOON AND SAUNA\n\n1ST TRY OFFER - JUST $37 FOR 30MIN !\n\nHit Book Now on our site\nPh 0497204080  or FB message us\n\n#Fibromyalgia #ChronicPain #Fatigue #PainRelief #InfraredTherapy #InfraredSauna #WellnessCocoon #RedLightTherapy #HimalayanSaltTherapy #VibratingMassageBed #AudioMeditation #EssentialOils","AudioMeditation, Fatigue, InfraredSauna, EssentialOils, HimalayanSaltTherapy, InfraredTherapy, VibratingMassageBed, WellnessCocoon, PainRelief, Fibromyalgia, ChronicPain, RedLightTherapy",
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/444959998_17860452123153195_2709060388097567692_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=o651KHh_qioQ7kNvgGv6hqi&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYARMNOxDBSB9eoxwY7L5qYTDFex9q0jcYJq8t-4xEVicg&oe=6663815E&_nc_sid=49ed71,Vectored Yula! (Definition for vectored lines in previous post)\n\nProgress for animation is going great! Pray for us. 🙏 \n🪨 \n🪨 \n🌊 \n\n#ontherock #vbs2024 #audiomeditation #vectorart #animation #cartoon #anime,"audiomeditation, ontherock, cartoon, vectorart, anime, vbs2024, animation",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/445581747_404587722545481_4489742367671351550_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=PLTYZUiQQx8Q7kNvgHTohEL&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCDqQJkdQ90m0gBQeWgTEIoBTEW5zo64fMTvJfx3lCa5A&oe=66637125&_nc_sid=49ed71,"Vectored Yasu... very satisfying to draw and look at :)\n\n🤓 Vectors are graphics that have points, lines, curves and shapes that are based on mathematical formulas (Google). So vectored lines are just lines that are sort of perfected in a way. They make things smoother. Hope I didn't over explain that lol.\n\nProgress for animation is going great! Pray for us. 🙏 \n🪨 \n🪨 \n🌊 \n\n#ontherock #vbs2024 #audiomeditation #vectorart #animation #cartoon #anime","audiomeditation, ontherock, cartoon, vectorart, anime, vbs2024, animation",
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/445174797_3357611107877100_3503383982817085226_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=mVgi0HPntL0Q7kNvgGvpgdZ&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBdWuJIOkA1xHz4NBtN9fkoiAtegW-He4kU05zwS-AetA&oe=66635C6A&_nc_sid=49ed71,"Yinnergy is a versatile tool that seamlessly integrates with any meditation or spiritual practice, enhancing your journey toward inner peace and self-awareness. Whether you already have a dedicated routine or are just beginning to explore meditation, Yinnergy is designed to be user-friendly and accessible. \n\nTo use Yinnergy, wear your headphones, find a comfortable seat, close your eyes, and press play. The audio technology takes care of the rest, guiding your brain into deeper relaxation and meditation through finely tuned sound frequencies. This process supports your mind in effortlessly drifting into a state of heightened awareness and calm, making it ideal for anyone looking to enrich their spiritual life or find a moment of peace on a busy day.\n\nYinnergy’s adaptability makes it a perfect companion for both seasoned practitioners and newcomers, providing a straightforward and effective way to enhance the meditation experience and deepen spiritual practices.\n\n#Yinnergy #MeditationMadeSimple #SpiritualPractice #DeepRelaxation #InnerPeace #SoundMeditation #Mindfulness #AudioMeditation #SpiritualWellness #EaseOfMeditation","EaseOfMeditation, Mindfulness, AudioMeditation, SoundMeditation, MeditationMadeSimple, SpiritualWellness, DeepRelaxation, SpiritualPractice, InnerPeace, Yinnergy",
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/441040045_18022637684484191_1363504679515825389_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=WpYfapaOQTIQ7kNvgEn_j0C&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYBCnOXZySVVtqNkFt5m-S5IRuqmA7A-p4gJNbTZg0vETA&oe=66638970&_nc_sid=49ed71,"FULL MOON:ZIKR, MOVEMENT & SOUND JOURNEY\n.\n.\nTHURSDAY 23 MAY | 7:30 PM - 9:00 PM | AED 189 VAT incl\nwith Sahar and Nabila\n.\n.\n #HarmonicHealing #FrequencyTherapy #TuneInToHeal #ResonanceTherapy #HealingSounds #Audiomeditation #SonicWellness #TuneIntoHealth #SoundTherapy #HolisticSound #ChakraTuning #SacredSound #HealingHarmony #MelodicHealing #RhythmicResonance #ZenSoundwaves #SoulSonicHealing","FrequencyTherapy, SacredSound, TuneIntoHealth, SoundTherapy, HolisticSound, MelodicHealing, ChakraTuning, TuneInToHeal, HealingHarmony, SoulSonicHealing, ResonanceTherapy, HarmonicHealing, HealingSounds, Audiomeditation, SonicWellness, ZenSoundwaves, RhythmicResonance",
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/441045999_18340638652114393_6316009325856490536_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=RlbrPyOJ67gQ7kNvgHEgzIt&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYDnhNyv8i6g-byuOf7Ch_oXdQJeCJQXDzG45wvH7boTkw&oe=66636590&_nc_sid=49ed71,"FULL MOON:ZIKR, MOVEMENT & SOUND JOURNEY\n.\n.\nTHURSDAY 23 MAY | 7:30 PM - 9:00 PM | AED 189 VAT incl\nwith Sahar and Nabila\n.\n.\n #HarmonicHealing #FrequencyTherapy #TuneInToHeal #ResonanceTherapy #HealingSounds #Audiomeditation #SonicWellness #TuneIntoHealth #SoundTherapy #HolisticSound #ChakraTuning #SacredSound #HealingHarmony #MelodicHealing #RhythmicResonance #ZenSoundwaves #SoulSonicHealing","FrequencyTherapy, SacredSound, TuneIntoHealth, SoundTherapy, HolisticSound, MelodicHealing, ChakraTuning, TuneInToHeal, HealingHarmony, SoulSonicHealing, ResonanceTherapy, HarmonicHealing, HealingSounds, Audiomeditation, SonicWellness, ZenSoundwaves, RhythmicResonance",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/436547373_327220550391592_3697305017461123587_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=AfgRIihGaWIQ7kNvgEqthxy&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCiVKnKlOg7cwu9UB4MLqCd1nuCrBvRR2aBBjR4WB3qIg&oe=6663561B&_nc_sid=49ed71,You can make your nights lighter with the light pajama 💤. \n\nOur curious button provides you with sleep routine tips and audio exercises for a more peaceful night 💙\n\nTorna as tuas noites mais leves com o light pijama 💤\n\nO nosso botão curioso dá-te dicas de rotina de sono e exercícios áudio para teres uma noite mais tranquila 💙\n\n#sleep #mindfulsleep #audiomeditation,"audiomeditation, mindfulsleep, sleep",
