Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447538852_1877532112712317_2925100712840948270_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=OZnWt_y_OBoQ7kNvgHpKVwP&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCFFVmoC6bDxDDdt8QuR8V6yxGJFVTAL-ktjafufqcjCw&oe=6663F2D5&_nc_sid=49ed71,"My 'just been bawling my eyes out to a complete stranger' face. \n\nNot a stranger at all, it seems 🥰 I love meeting new (old) souls 🤍\n\nShe said she came over to me because she ""saw my shine"" and her saying that made me cry. We had a hug and a natter and her just being her and me just being me, we vibed our little vibe 💃\n\nThen later I had a little something else that made me cry because I'd been a bit too shiny and triggered an ego or two.\n\nIt's a weird old place this eh?! 😭😂\n\n#shine #ego #justkeepswimming #yougotthis #awakening #breathe #youcanonlybeyou #pah","breathe, justkeepswimming, awakening, pah, ego, yougotthis, shine, youcanonlybeyou",
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447605031_18435091165045685_8916609825628028205_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=JYml6lu8RncQ7kNvgGY8rNC&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYCRF7ETciCaeFL69pNuwT5URGeOOlkAbB-qbr9RjJGFdg&oe=6663F908&_nc_sid=49ed71,"Awaken, awaken the giant that resides in us. \nThe old soul, the all knowing. \nThe one who answers his own questions without bias, without fear of what may come. \nHe who lives for the help and the health of the people. \nNot the “I” only the WE.. \n\n#awakening #awaken #awakenyoursoul #awakened #health #provider #protector #giant #giants #gigante #unidos #united #oldsoul #oldsouls #ancestors","health, protector, giants, awaken, giant, united, ancestors, awakening, awakenyoursoul, gigante, unidos, awakened, oldsoul, oldsouls, provider",
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447479061_351564727601915_8858205319548823312_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Y7sKsCv_LwMQ7kNvgHgOPMi&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYA2A_ahqOkxR1xzypPprEf0y5oUeFVYn5_xj2uzHVaUvw&oe=6664003D&_nc_sid=49ed71,"I was Burned out, sad and feeling lonely...\n\nSo I took 2 weeks unpaid leave and crossed half a continent to go see my friends and surf on my favourite beach. \n\nMy well-being is the most important.\nIn this world where the people that are supposed to manage public money and work for the good of all are corrupted to the bone and just try to make you sick from every corner. \n\nBut the human body hold so much technology and beauty. \nThe mind has so much potential when used well.\nAnd spirit is unbreakable.\n\nAnd when you found your people, it all lights up 100 times.\n\nFeeling recharged.\nFeeling appreciated.\nFeeling loved. \n\nThanks my beautiful friends for having me and making me feel soooo welcome. \n\nUntil next time 😘\n\nWell-being from Body, Mind and SPIRIT. Is our biggest asset. \nNot an extra $1000 in your bank account. \n\n#wellbeing\n#love #selflove\n#yoga #awakening #consciousliving","wellbeing, awakening, yoga, love, selflove, consciousliving",
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447292110_487487550388288_6015383219524814748_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=XQbbcZbSkJcQ7kNvgFhUjMz&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBci88qfPuE9spj3Alkzq0Y8am28Se2b132Fp0Wn6w8Lg&oe=6664019E&_nc_sid=49ed71,"Puppy love! ❤️ My beautiful gorgeous fluffy mischievous bunnies. I loooooooove them soooooo much I could just burst. No matter what life is doing, or if I'm tired or just want a cuddle, I bury my face in their fur and everything feels great again ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️\n#chants #divination #magical #manifestation #spells #magic #spiritual #witch #witchcraft #goddess #goddesspower #angels #rituals #Incantations #awakening #candlemagic #elementalmagic #treespirits #empowerment #eclecticwitch #enchantment #fairys #spiritualawakening #newmoon #fullmoon #lunar #crystals #divinefeminine #calming #healing","lunar, candlemagic, witchcraft, spells, fullmoon, divination, awakening, healing, eclecticwitch, elementalmagic, Incantations, treespirits, goddesspower, angels, divinefeminine, spiritualawakening, calming, goddess, spiritual, enchantment, magic, fairys, crystals, witch, rituals, chants, manifestation, empowerment, newmoon, magical",
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447775846_18078657286490145_4104226952120218652_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=t5l2kgXT8FoQ7kNvgE3QKdi&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYA0ZCLYQM3ot1aXGQOtaf-Isf3JI-Dz6BLahKXnPsnHJw&oe=6663F52D&_nc_sid=49ed71,Nothing but love 💕 \n\n .⁣ .⁣ #Spiritualgrowth #lightworker #spiritualjourney #love #inspiration #mindset #spiritual #awakening #spirituality #meditation #tarot #life #consciousness #selflove #motivation #selfgrowth #growthmindset #spiritualawakening #healing #selfcare #positivevibes #mindfulness #higherself #psychic #medium,"mindset, spiritualjourney, awakening, healing, positivevibes, psychic, consciousness, inspiration, higherself, Spiritualgrowth, selfcare, meditation, spiritualawakening, tarot, spiritual, motivation, love, selflove, selfgrowth, lightworker, mindfulness, medium, spirituality, life, growthmindset",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447439567_272718325865616_3930714889068771611_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=TShV0ObkxpsQ7kNvgFY8Joc&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAl4YrOgvJ8wIr2_jTHWcEeVRjLZRG59_XOjpmGxk1a1w&oe=66641A9F&_nc_sid=49ed71,Love be with you. \n\n#christ #christian #christianity #ascension #awakening #love #selflove #kindness,"ascension, christ, kindness, christian, awakening, christianity, selflove, love",
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/428687279_18436939666004878_3460544101451525811_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=t01BmpMkB3IQ7kNvgFmtl1f&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYCZpsASkKKOQNZqjctv8RWByb1obKUt6Mf4JTK3XU4I0w&oe=6663F56C&_nc_sid=49ed71,"En un mundo que busca siempre el exceso y el consumo hasta un punto que es dañino, lo que más anhelo es la simplicidad. He descubierto que mi ALEGRÍA más íntima nace de un lugar de tranquilidad... escucha... cuidado personal... conexión... nutrición-alimentación... naturaleza... y amor.\n\n#live #love #believe #happiness #awareness #awakening","awakening, believe, happiness, love, awareness, live",
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447808520_1160736278262566_369159345262423402_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=pAyJZjZH0p8Q7kNvgFvvM99&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBMDV981uD6eQROtY0HSqPQwxaLx3ZTt18eGfM7X-tQuA&oe=6664040A&_nc_sid=49ed71,"🌟 Vénus Cazimi en Gémeaux le 3 juin : Un Moment de Magie Cosmique ! 🌟\n \n✨ Vénus Cazimi : Lorsque Vénus est en conjonction exacte avec le Soleil, ses énergies sont purifiées et magnifiées. C’est un moment rare et puissant où l’amour, la beauté et la créativité rayonnent intensément. Comme le décrit si bien Demetra George : « Vénus cazimi est un moment rare et précieux où l’essence de l’énergie vénusienne est purifiée et magnifiée par la lumière du Soleil, offrant un potentiel profond de clarté et de renouveau dans les affaires du cœur. »\n\n💫 Vénus en Gémeaux : En traversant\n le signe des Gémeaux, Vénus embrasse une énergie légère, curieuse et communicative. \n\n🌊 Cependant, Vénus forme un carré avec Saturne en Poissons, ajoutant une dimension de défi à cette période. Dans la mythologie, Saturne (ou Cronos) est souvent perçu comme le gardien du temps et des limites, imposant des restrictions mais aussi une sagesse profonde.\nCe carré peut introduire des tensions et des obstacles, demandant patience et discipline. Comme l’explique Démétra George, ce carré symbolise la nécessité de structurer nos rêves et nos idéaux, intégrant maturité et responsabilité dans nos relations et créations.\nIl s’agit de voir les limitations non pas comme des freins, mais comme des occasions de croissance et de raffinement. Les défis posés par Saturne nous invitent à approfondir notre compréhension de l’amour et de la beauté, à travers un prisme de sagesse et de persévérance.\n\nLa raison et le cœur sont comme deux danseurs qui doivent s’accorder pour créer une harmonie parfaite.\n\n « Changez vos pensées et vous changerez votre monde. » – Joe Dispenza\n\n🌅 Je relance le cycle 1 pour débutants et le cycle 2 pour initiés, de ma formation à l’Astrologie, début septembre. Inscriptions en cours. Écrivez-moi un message privé pour recevoir toutes les infos. Places limitées pour un chemin initiatique personnalisé. 🌿\n\n🙏 Je vous remercie de liker ce post ou de partager ce message pour continuer à voir mes partages 💛\n\n#astrologie #venus #guidance #awakening #coachingdesens #coaching","guidance, coaching, awakening, astrologie, venus, coachingdesens",
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447864808_753712446658754_7897558805620799427_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=tE0OtA4kx8UQ7kNvgFXGZ1Q&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCe19dh_GhBml7Nz8vgMCik2xvjo3A0cDRwGhkY-_Q9_Q&oe=66641DD8&_nc_sid=49ed71,#gaza #rafah #freepalestine #palestine #orphan #parent #parenting #parentlife #family #familytime #sister #brother #brothers #brotherhood #lovequotes #quote #quotes #muslim #muslimah #islam #truth #truthseeker #live #liveauthentic #story #truefeelings #truestory #authenticity #authentic #awakening,"family, truefeelings, familytime, muslim, sister, gaza, parent, awakening, quotes, truthseeker, parentlife, freepalestine, rafah, live, liveauthentic, authenticity, story, muslimah, brotherhood, quote, authentic, islam, orphan, truestory, brothers, lovequotes, brother, truth, palestine, parenting",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447627687_18413397364070973_7783563385123444843_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=UldscIFcSi0Q7kNvgGoZcCE&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYBWL2iex04sW19XIrQzUuq1wBDV3Wj2-rqLLSgqhUNZjA&oe=6663F6D9&_nc_sid=49ed71,"#sisterhood💕 \nEin anderer Aspekt bezüglich „Schein“ und „Sein“ ist die Art und Weise, wie Frauen miteinander umgehen. So oft fällt der Begriff #womanempowerment und #womensupportingwomen usw… Hinter den Kulissen sieht es allerdings oft anders aus, so dass sich diese Begriffe leider oft in Schall und Rauch auflösen, was ich sehr schade finde, da ich Stutenbissigkeit und Konkurrenz überhaupt nicht mag 🙏🏻 \nUnd so ist jede Frau, die an einer wirklichen Co Kreation interessiert ist, ein absolutes Geschenk 💖 Wir sind letztlich alle sooo einzigartig und ein echtes Interesse an einem ehrlichen Miteinander und einem gegenseitigen Bestärken, gerade von Frau zu Frau, hat eine enorme Schubkraft und zwar auf ALLEN Ebenen 🙏🏻 Und wenn sich dann eine Zusammenarbeit allmählich in eine tiefe Seelenverbindung und freundschaftliche Schwesternschaft entwickelt, ist das wirklich wunderschön 💖 Danke dafür 🙏🏻\n@cherylangelika \nLet’s rise up and shine, power on, rock‘n roll & Namasté\n💪🏻💖🦄☀️🌊🧚🏻😇💋🙏🏻✨\n\n#letsrock #women #girlpower #actresses #voiceactresses #togetherwearestronger #namaste #soulsisters #workinggirls #womenempowered #acting #hippiespirits #awakening #spicegirlsforever #mood #starseeds #astrology #energies #lightworkers #openheart #soulconnection #grateful #ınstagood #fyp","sisterhood, hippiespirits, spicegirlsforever, acting, fyp, grateful, namaste, womensupportingwomen, soulsisters, awakening, astrology, women, togetherwearestronger, openheart, soulconnection, womanempowerment, womenempowered, girlpower, mood, lightworkers, letsrock, starseeds, actresses, energies, voiceactresses, workinggirls",cherylangelika
