Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/447604262_337526822502463_391383816615021272_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=O8vL4EiKmNYQ7kNvgESwRoE&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCA8vG69j_J7UBfT7nGYFnwigbg1qKEvK2eDy4IzBVSEw&oe=6663E126&_nc_sid=49ed71,#christianresources #christianbooks #lutheran #lutheranchurch #christianbookstagram #prayer #christianwisdom #Scripture #scriptureoftheday #christian #christianquotes,"christianbookstagram, lutheran, Scripture, prayer, christianresources, christianbooks, christian, lutheranchurch, scriptureoftheday, christianquotes, christianwisdom",
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/447500139_363250436774841_5281126015505102377_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=G5OMp5p0AOcQ7kNvgHfKhHj&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCYEcwVixP1tBItz7W3f3saxSZch-vbrzesO38_lHu1kw&oe=6663EC87&_nc_sid=49ed71,"❤️️ Follow & be encouraged by the Bible verse inspired work of artist Mark Lawrence ❤️️\n\nWe love hearing how our art and the Bible verses behind them have impacted you! Share your thoughts, prayers, and testimonies in the comments. Together, we can create a community of faith and encouragement.\n\nMarkLawrenceGallery.com\nMarkLawrenceArt.com\n\nJeremiah 12:2. Grow from https://marklawrencegallery.com/products/christian-art-grow \n\n#blessed #bible #art #faith #love #christianity #jesus #HeavenlyMasterpieces #jesussaves #BlessedBrushstrokes #SacredExpressions #worship #bibleverse #InspirationalArt #GlorifyingGodThroughArt #GodsMasterpieces #church #god #churchcreative #religion #DivineDesigns #HeavenlyPalette #PraiseThroughArt #godisgood #ChristianArtistry #truth #RedeemedArt #christian #ChristianCreativity #grace","InspirationalArt, truth, christianity, love, BlessedBrushstrokes, ChristianArtistry, god, blessed, churchcreative, worship, HeavenlyMasterpieces, GodsMasterpieces, godisgood, RedeemedArt, PraiseThroughArt, religion, art, ChristianCreativity, grace, bibleverse, SacredExpressions, GlorifyingGodThroughArt, faith, church, HeavenlyPalette, christian, DivineDesigns, bible, jesus, jesussaves",
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447506591_1606037313518669_4770482832151657733_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=UdkZ7tFoHhcQ7kNvgFl1oL2&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBJYdFylnBu6YGWqEfGWVN1UTRM3fU7M344_5ob6visWw&oe=6663F0D9&_nc_sid=49ed71,I’ve been developing my fav Christian music playlists that I love getting to share with y’all 🥰 they’re all linked in my bio through Spotify \n\nBUT I’ve gone down this rabbit hole of trying to make a Christian playlist for every genre of secular music that I’ve left behind so here are some of the playlist covers I recently created 😂 \n\nPLEASE share your fav Christian music recs with me!! \nComment a fav new artist or song below 🥰\n\n* \n\n* \n\n* \n\n* \n\n* \n\n* \n\n* \n\n* \n\n* \n\n* \n\n______\n#christian #christianmusic #spotify #christiangirl #christiangirls #faithblogger #faithlife #faithlifestyle #christianlifestyle #jesuslovesyou #jesusloves #daughterofgod #womanofgod #spotifyplaylist #christianmusician #christianmusicians #christiansongs #christianplaylist,"spotifyplaylist, christianmusic, faithblogger, christianlifestyle, christianmusician, faithlifestyle, christianmusicians, spotify, christian, jesuslovesyou, daughterofgod, christiangirls, christiangirl, womanofgod, christiansongs, jesusloves, faithlife, christianplaylist",
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447383957_3675639189352409_9035074191268673916_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=sfAEZpVGRxIQ7kNvgGziIPU&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYA_8gCOnGeI9JiHYGdFwqdI5zWZAzQxxDJ1OeRdLRmN0A&oe=66641197&_nc_sid=49ed71,"There’s no better way to start summer than to get your own snoga!! 🌤️🌿💚\n\nuse code: EMERY15 (for 15% off your next purchase!! ✨)\n\nThank you @snoga_athletics for this beautiful gift, I love it so much and is definitely one of my go to skirts!! ☺️🌱\n\n#modest #modesty #fashion #snoga #skirtgirl #christian #athletic #skirt #green #summer #explore #explorepage","explore, fashion, summer, athletic, christian, explorepage, snoga, skirt, modest, modesty, green, skirtgirl",snoga_athletics
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/447773718_1398022557554306_1811005101475884634_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=qQ0EhMyRk1wQ7kNvgG3K9pi&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDMVNToxnSga7ZYWwNH6uPU6xFPNorkUcQD8tWM4yIwiw&oe=66640F7A&_nc_sid=49ed71,"✨daily inspiration✨\n\nIt’s a brand new week, friends! I’m not sure about y’all, but I’m just really not feeling like myself today. As much as I want to be super inspirational and give you something profound to live for this week, I don’t have it in me.\n\nInstead, I can tell you exactly what I’ve been trying to remind myself of today.\n\nTake it one day at a time.\n\nNot everyday is going to be great.\nYou won’t feel like your best self everyday.\nEach day won’t be filled with loads of productivity.\n\nIf you’re also struggling today, just know that whatever you’re feeling won’t last forever. You’re not doomed. You’ll likely feel more hopeful tomorrow or the next day. \n\nYou don’t have to have everything figured out today.\nYou don’t need to be perfectly positive all the time.\nYou don’t have to let your bad day result in hopelessness.\n\nJust take it one day at a time—we’re gonna be okay whether it seems like it or not✨🌷\n\nI love you and Jesus does too 🫶🏻 \n\n💖B \n\nVisit me online at: https://bayleeonthedaily.com/ \n\n#jesuslovesyou #inspiration #bethelight #faith #jesussaves #lovelikejesus #christian #growth #godislove #christianinspiration #gospel #faithoverfear","christianinspiration, growth, faithoverfear, inspiration, christian, jesuslovesyou, gospel, lovelikejesus, godislove, bethelight, jesussaves, faith",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447568670_892450532591606_6581564422765463516_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=mzRrI80_eQ4Q7kNvgFjm7hz&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYATGyd1YHNrpRLNhgdbmiEnaDCIal0KahNoq9EjuoFeYw&oe=6663E1C8&_nc_sid=49ed71,Thank you Jesus for purchasing me with your blood 🙏🏽✝️. #bibleverse #bible #jesus #christian #god #jesuschrist #faith #biblestudy #love #godisgood #biblequotes #christianity #prayer #scripture #christ #holyspirit #church #pray #jesuslovesyou #verseoftheday #gospel #hope #bibleverses #amen #jesussaves #blessed #truth #worship #bibleverseoftheday #grace,"truth, christianity, love, gospel, christ, hope, god, blessed, bibleverseoftheday, holyspirit, bibleverses, worship, jesuslovesyou, godisgood, grace, bibleverse, jesuschrist, verseoftheday, faith, amen, church, pray, biblequotes, prayer, christian, biblestudy, bible, jesus, scripture, jesussaves",
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/446678660_480227157738537_4775748210951888778_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=gzwWjJz1xk0Q7kNvgEEVJJr&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAWoDAlRNVtzJN6HCm6ClSf7FTcUnzrNfYDSTFIyFl3-Q&oe=66640559&_nc_sid=49ed71,#God #GodFirst #TrustGod #Relationship #Obedience #jesus #bible #faith #prayer #christian #worship #blessed #TheLadyOhShow #LadyOh \n\n@motivatefaithig,"GodFirst, Obedience, worship, TheLadyOhShow, prayer, LadyOh, Relationship, christian, bible, jesus, God, blessed, TrustGod, faith",motivatefaithig
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447573507_273132409153810_890905393440287575_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=P0o3Rvv4N-gQ7kNvgFJeCd8&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAMuNkjGD5NC2caWh4fOPhnGRXlbWjY8rphfFxL8V-FRA&oe=6663E432&_nc_sid=49ed71,Have a blessed day!!\n\n#faith #faithoverfear #god #jesus #jesuschrist #scripture #scriptures #scriptureoftheday #jesusislord #jesusisking #jesusislove #bible #bibleverse #bibleverses #godisgood #godislove #jesussaves #jesusistheway #godisgoodallthetime #redemption #forgiveness #gratitude #blessed #blessedlife #saved #christian   #christ  #pray #prayer,"blessedlife, godisgoodallthetime, christ, god, blessed, godislove, jesusistheway, bibleverses, godisgood, jesusislord, redemption, faithoverfear, saved, scriptures, gratitude, jesusisking, bibleverse, jesuschrist, faith, forgiveness, pray, prayer, christian, scriptureoftheday, bible, jesus, jesusislove, scripture, jesussaves",
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447376412_1374254599905832_7960801248869891371_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=u2nSvzpTmd8Q7kNvgHeVxl1&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYD7UGEIR_5Jzl2get-1n1JgyIPqTzKiPbfsbtzvCjNmSA&oe=6663E581&_nc_sid=49ed71,glory to the son the father and the holy spirit\n\n#love #god #faith #bible #christian #biblememe #christianmeme #bibleedit #christianedit #jesus #jesusedit,"bibleedit, biblememe, christian, love, jesusedit, christianmeme, christianedit, bible, jesus, god, faith",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447465065_1208524620313491_7274113670185202987_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=xxrU10snWhIQ7kNvgGHkdlL&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCFElXFyUuK88DSX_I8FKLwRFJf3QFhcN0aQEdfL_xXEg&oe=66640540&_nc_sid=49ed71,"🪩🛼✝️Christian Skate Night ✝️🛼🪩\n\n📅 : June 5th, 12th, 19th, and 26th\n📍 : SkateTown, West Monroe\n🕘 : 6:30 p.m - 8:30 p.m\n\n❕️Call Ahead to book and receive group discount ❕️\n\n-\n-\n-\n-\n-\n#christian #skatenight #christianskaters #cityofwestmonroe #westmonroe #skatetown #youthgroup #churchactivities #rollerskating","churchactivities, westmonroe, cityofwestmonroe, skatetown, christianskaters, christian, youthgroup, skatenight, rollerskating",
