Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/445512956_903209104940377_3564505021468375057_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=ymCqtbs7Ox4Q7kNvgGas5Tk&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYCGL9E1-7eo77yLaKWfAfWyk9KpB1IcoQlh9TAYgztqfA&oe=6663DB7B&_nc_sid=49ed71,"San Antonio's Starry Sage: Seek Enlightenment with Astro Ram ji Contact us now +1 682-408-8832 🌠\n\nAs San Antonio's trusted sage of the stars, Astro Ram ji offers enlightening guidance to help you uncover your true path. Embrace cosmic wisdom and embark on a journey of self-discovery with confidence. #sanantonio #astrology #enlightenment #guidance #astroramji #astropredictions 🔮#astrologychart 🌌#psychicenergy 🌠","sanantonio, astropredictions, astrologychart, enlightenment, psychicenergy, astrology, astroramji, guidance",
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447799005_342641721934841_8994735738725625474_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=NaTxO8TER-cQ7kNvgG51VmD&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDsDRAasTjqZ2i27QU1R1gh36HZ0FVDNkLesG3buBOqvQ&oe=6663D9EA&_nc_sid=49ed71,"Introducing Se'lah's Soul House!\nThis one is for my fellow singers! \nWhether you perform on stage or like to get down in the shower. It's time to unleash your talent! We are coming together in the love and joy of singing \n🎵🥰🤸🏾‍♀️\n\nWhat to expect:\n🎤Music\n🎤Songwriting\n🎤Singing Exercises\n🎤Affirmations\n🎤Ceremonial smoke cleanse\n🎤Sharing circle\n🎤Karaoke nights\n🎤Light snacks and refreshments\n🎉🎶FUN! FUN! FUN!🎶🎉\n\n*Acoustic/brass musicians welcomed! Bring your instruments!* BEATBOXERS come through!!!\n\nIf this sounds like something you'd love to get down with, *SAVE THE DATE, RSVP* with me and get ready to lalalalalaaaaaaaaaaaaaa!!!! \n\nBi-weekly Saturdays at Cosmic Roots\n6pm\n$150 mxn\n\n*Ask me about my Soul Pass!!*\n*It gives you access to all my events at Cosmic Roots plus discounts and freebies from my Soul Kitchen*",,
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447468687_400668662960619_1013149922487120733_n.heic?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=s552s4Uo7QQQ7kNvgE1k_gl&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCKBOJms9rTk7sByRp2FPNmOc2FcqplSc4qEXNMCPpbDQ&oe=6663FDA4&_nc_sid=49ed71,#spirituality #love #meditation #spiritualawakening #spiritualgrowth #yoga #spiritualjourney #inspiration #spiritually #spiritualpath #mindfulness #healing #consciousness #spiritualist #quotes #awakening #lightworker #enlightenment #spiritualhealing #spiritualwarrior  #spiritualart #peace #spirit #lawofattraction #art #spiritualized,"consciousness, enlightenment, spiritualist, lawofattraction, spiritualart, awakening, spiritualhealing, spiritualawakening, spiritualpath, quotes, inspiration, mindfulness, spiritualgrowth, yoga, lightworker, art, healing, meditation, spirituality, spiritualized, spirit, love, spiritualwarrior, spiritualjourney, peace, spiritually",
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447253042_1164083468065029_7000837777483190037_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=CTHVCaYsL8IQ7kNvgH5HBh0&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBQYFeMbaRAQ7P6GEKX-wSXbJ6UOx4JQrwmOBl_J0o48g&oe=6663F273&_nc_sid=49ed71,"✨Ready to balance your inner world and embark on a spiritual awakening journey? \n\nDiscover our comprehensive “Spiritual Guide on Awakening”!\n\nThis guide is packed with valuable insights and practical strategies to help you harmonize your divine masculine and feminine energies, paving the way to spiritual enlightenment.\n\n✨ Unlock the power of crystals\n✨ Harness the energy of essential oils\n✨ Engage in transformative energy work\n✨ Embrace the practice of meditation\n\nWith step-by-step instructions and thoughtful guidance, you’ll learn to cultivate inner balance, enhance your well-being, and awaken your spiritual potential.\n\nWhether you’re just starting out or are an experienced practitioner, this guide meets you where you are and empowers you to take the next steps toward enlightenment.\n\n🌿 First step is to follow me & then comment  YES on this post and I will send you the link to download  your free guide now and start your journey today! 🙏💫\n\n#SpiritualAwakening #InnerBalance #SpiritualJourney #Healing #Crystals #EssentialOils #Meditation #EnergyWork #Enlightenment #FreeGuide #PersonalGrowth #SpiritualEnlightenment #energy #spiritualawakening","Crystals, PersonalGrowth, Healing, EssentialOils, Enlightenment, energy, SpiritualAwakening, spiritualawakening, SpiritualJourney, Meditation, EnergyWork, FreeGuide, InnerBalance, SpiritualEnlightenment",
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447368334_1012870807119592_4470220502971394190_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=2dmNgKCLzFQQ7kNvgH3dexM&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDbxMdrZmjwPo740fb1p48hTq4TzbA8vZl2W3CSUh-yDQ&oe=666408A1&_nc_sid=49ed71,We up there now \n\nLight and love \n\nDaniel\n\nHashtags:\n#spiritualjourney #nonduality #higherconsciousness #positivevibes #selfgrowth #positivethinking #innerpeace #gratitude #selflove #manifestingdreams #manifestation #manifest #selfrealization #enlightenment #awakening #lawofattraction #lawofassumption #consciousness #imagination #imaginationcreatesreality #subconsciousmind #spiritualityawake #awareness #awakenedmind #nevillegoddard #manifestationmagic #manifestationcoaching #manifestationtools #lawofone #oneness,"selfrealization, nonduality, consciousness, oneness, enlightenment, lawofattraction, manifestationtools, awakenedmind, manifest, awakening, spiritualityawake, imaginationcreatesreality, positivevibes, manifestationcoaching, nevillegoddard, innerpeace, lawofassumption, awareness, higherconsciousness, subconsciousmind, manifestationmagic, positivethinking, manifestation, selflove, gratitude, selfgrowth, lawofone, spiritualjourney, imagination, manifestingdreams",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447641757_1696491424422223_9023855625610935257_n.heic?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=R3uoQhsZFXQQ7kNvgEF3J3N&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCw6TN_5z4O_-bxB-D3_mD_yXJN2P5AeO7MYlcny3vXwg&oe=6663F445&_nc_sid=49ed71,Yesss 🤣🤣🤣🫶 #namaste #thegreatawakening #spirituality #enlightenment #spreaditlikecorona #wordisbond #twinflame #twinflameunion #wisdom #knowledgeispower #knowyourworth #foreverp #manifestation #tical #wutangclan #tmc #alchemy #spriritualhealing #meditation #energyhealing #vibetribe #spiritualawakening #divineandconquer,"alchemy, spriritualhealing, spreaditlikecorona, enlightenment, divineandconquer, knowyourworth, knowledgeispower, energyhealing, tical, spiritualawakening, namaste, tmc, thegreatawakening, twinflame, wordisbond, meditation, foreverp, manifestation, spirituality, vibetribe, wutangclan, twinflameunion, wisdom",
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447443698_968052638133421_3145962945983327411_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WpXwCKFIZJgQ7kNvgGlHlQl&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAQdViRPRXXQsXh5CcnKygxwGIoXu09O2yyWK9XD2Vp-w&oe=6663EB2C&_nc_sid=49ed71,"There is no true spiritual evolution without the Divine Mother. It is through her that we are able to come to a place of stillness and acknowledgement of being. It is through the Divine Mother that we are able to discover and nurture the truth of who we are through physical, embodied experience. Through the experience, we uncover more of who we are as Divine beings, learning and unveiling what may be standing in the way of truly understanding this as the reality. We can take in information, we can accumulate it....it is entertaining. But how are we living? What choices are being made on a regular basis? What are we choosing to embody and express in the world? One of the many gifts of the Divine Mother is that of choice. So it is by allowing her grace to move through us that we are able to see the choice in daily life. And it is by choosing to live in accordance with love that the truth is unveiled to us. \n\nMuch love, \n\nSaiedah 🌹",,
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447641753_1586775175439182_5874596650374196470_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=xZ2R-WVbe68Q7kNvgH7-0JN&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDm-OWfHgwOb3gIfthFE7Dgt_9tp7iXGaD1FpU3yHrBhg&oe=66640E8D&_nc_sid=49ed71,Rules and instructions for $5 card pull special:\n* Send payment to my PayPal. $5 minimum for 5 cards. You can send more for more cards. It’s a $1 per card.\n* DM me proof of payment with your persons name and birthdate. I will then send you pics of your cards via DM \n* This is a self read message card pull. There will be no intuitive summary given\n* PLEASE SEND PAYMENT AS FRIENDS AND FAMILY. Thank you☺️🤍,,
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447458420_348522588291229_7603131264534718252_n.heic?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=QuBh67X2FogQ7kNvgEfzyla&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDrdRSLwo23Jc0WrhjdSNWfuwtVMSXnmVZC5JJ0jGlioA&oe=6663F281&_nc_sid=49ed71,Glory be to God and the universe. Got purpose? Got higher power? You got me😍❤️😘 #namaste #thegreatawakening #spirituality #enlightenment #spreaditlikecorona #wordisbond #twinflame #twinflameunion #wisdom #knowledgeispower #knowyourworth #foreverp #manifestation #tical #wutangclan #tmc #alchemy #spriritualhealing #meditation #energyhealing #vibetribe #spiritualawakening #divineandconquer,"alchemy, spriritualhealing, spreaditlikecorona, enlightenment, divineandconquer, knowyourworth, knowledgeispower, energyhealing, tical, spiritualawakening, namaste, tmc, thegreatawakening, twinflame, wordisbond, meditation, foreverp, manifestation, spirituality, vibetribe, wutangclan, twinflameunion, wisdom",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/446716532_842241394418597_5555075637747696040_n.heic?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=vC1CN2LW-kQQ7kNvgHvXw3H&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBkD0M9FaDd4Vy2D4PMBSPnPMVl7HmJnNj_6y4v1V0alg&oe=666408B5&_nc_sid=49ed71,"BEYOND ACCEPTING OR REJECTING \n\nThe open path is a matter of working purely with what is, of giving up altogether the fear that something may not work, that something may end in failure. One has to give up the paranoia that one might not fit into situations, that one might be rejected. One purely deals with life as it is.\n\nChögyam Trungpa ""Cutting Through Spiritual Materialism"" \n\nYou do not have to abandon worldly activities in order to attain effortless unconcern. You should know that worldly activities and effortless unconcern are not two different things, but if you keep thinking about rejection and grasping, you make them two.\n\nHuiNeng (the 6th Zen Patriarch), translation by Thomas Cleary, Classics of Buddhism and Zen, Volume 1 \n\nThe next time you lose heart and you can’t bear to experience what you’re feeling, you might recall this instruction: change the way you see it and lean in. Instead of blaming our discomfort on outer circumstances or on our own weakness, we can choose to stay present and awake to our experience, not rejecting it, not grasping it, not buying the stories that we relentlessly tell ourselves. This is priceless advice that addresses the true cause of suffering — yours, mine, and that of all living beings.\n\nPema Chödron, ""Taking the Leap: Freeing Ourselves from Old Habits and Fears""\n\nThe Way is perfect like vast space\nwhere nothing is lacking and nothing is in excess.\nIndeed, it is due to our choosing to accept or reject\nthat we do not see the true nature of things.\nBe serene in the oneness of things\nand such erroneous views will disappear by themselves.\n\nSengcan (Third Zen Patriarch), Trans. Richard B. Clarke \n\nSince everything is but an apparition,\nPerfect in being what it is,\nHaving nothing to do with good and bad,\nAcceptance or rejection,\nYou might as well burst out laughing!\n\nLongchenpa, Glimpse After Glimpse: Daily Reflections on Living and Dying""\n\n#buddha #dharma #sangha #meditation #enlightenment #spirituality #religion #buddhism","dharma, buddha, enlightenment, sangha, religion, meditation, spirituality, buddhism",
