Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461443388_438063932099123_5978138054048223155_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=3SBG0O6cYjMQ7kNvgGsgUOa&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBWNV7SK2yqavvvVmp9FDRSGCJaWowXE654X5A8IscnVw&oe=66FDAA6E&_nc_sid=49ed71,"As reported by Abu Huraira, when a man asked the Messenger of Allah (ﷺ) “Who is most deserving of my good company?” The Prophet said, “Your mother.” The man asked, “Then who?” The Prophet said “Your mother.” The man asked again, “Then who?” The Prophet said, “Your mother.” The man asked again, “Then who?” The Prophet said, “Your father.” (Sahih Bukhari and Muslim)\n\nThe Prophet Muhammad (ﷺ) also said, “Paradise lies at the feet of mothers.” (Sunan Ibn Majah)\n\nIn Islam everyday is Mothers Day.\n\n#Islam\n#Mothers\n#DeenReminder","Mothers, Islam, DeenReminder",
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461410086_539234941834821_3029402786652189129_n.heic?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=UBoiooBbst4Q7kNvgF50xJh&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDjr_cO6uWsjyqDegs3ANOk9CMiCohChQOdx-unP-8fpQ&oe=66FDC158&_nc_sid=49ed71,-🤍\nFollow up @muslimahdimensions .\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#islam \n#quran \n#islamic \n#deenoverdunya \n#exploreislam #explore\n#instagood \n#instagram \n#deen\n#islamicreminders \n#islamicquotes,"deen, islamicreminders, islam, islamic, instagood, quran, islamicquotes, explore, instagram, exploreislam, deenoverdunya",muslimahdimensions
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461535738_879423764115502_478573872066817697_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=7bAEYcHL2hEQ7kNvgGzzduj&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYB7xHZ5AbJHdheoqrZ9ULBJ_ooa_hyp73SH5fT85QKZpA&oe=66FDBDD7&_nc_sid=49ed71,سالانہ_میلاد_کانفرنس_کراچی2024: انو بھائی پارک ناظم آباد کراچی \n\nمنہاج القرآن ویمن لیگ کراچی کی انتظامی کمیٹیز نے ناظمہ زونز اے محترمہ انیلہ الیاس اور محترمہ ام کلثوم (ڈائریکٹر ایگرز) کے ہمراہ انو بھائی پارک میں پنڈال کا وزٹ کیا اور انتظامات کا جائزہ لیا۔ بہترین انتظامات کو یقینی بنانے پر تبادلہ خیال کیا۔\n\n#MawlidConference #mawlid2024 #milad2024 #MiladUnNabiMubarak #miladunnabi2024 #MawlidNabawi #love #Spirituality #islam #karachi #prophet #Muhammad #viral #trend,"MawlidNabawi, MiladUnNabiMubarak, milad2024, mawlid2024, Spirituality, islam, karachi, trend, prophet, Muhammad, viral, MawlidConference, miladunnabi2024, love",
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461517676_550551960757931_8952448245298584215_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=UqchC0BLbf0Q7kNvgEIqIpH&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBEaT-HBKvnn8EJ1RSJYc75c9h0xAoDGob99y2dyykmDA&oe=66FDABC3&_nc_sid=49ed71,🤍 #islam #islamicposts #love #salah #prayer #namaz #islamicreminders,"islamicposts, islam, prayer, salah, namaz, love, islamicreminders",
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461654031_1241178910426807_5020188673319165305_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=2zPluX6o1VkQ7kNvgHiIJfb&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBGT24uJEPX--97bX2vAOJeCiM8vqDA5B1jtHJfShB32g&oe=66FDCE31&_nc_sid=49ed71,Peace!\n.\n.\n.\n 🌊\n#allah  #islam  #quran  #quranquotes  #quotes\n  #dayie_h,"islam, allah, dayie_h, quotes, quran, quranquotes",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461648959_1041093170845493_6422835045080714243_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=pSrzeJZgmhIQ7kNvgHL0zT7&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYD18E0yoQdBI1xO7P3fA2FfV2ATiFeiUXqvx57HYDq0ZQ&oe=66FDBFC6&_nc_sid=49ed71,Free Palestine 🇵🇸🍉\n\n#freepalestine #savepalestine #🍉 #islam #islamicquotes #islam❤️ #islamicpost #allah #muhammadﷺ #like #follow #share #from #river #to #sea #palestine #will #be #free,"freepalestine, river, muhammad, follow, islam, allah, savepalestine, islamicpost, share, be, will, free, islamicquotes, sea, like, to, from, palestine",
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461479451_1033201108590948_7069318371243686773_n.heic?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=RseXv4oVBbQQ7kNvgEw2JtF&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYC7CfJRm7NQu5vDPJsV746eLxVeG2cehr9MjL73TflFbg&oe=66FDB376&_nc_sid=49ed71,Badshaoon ka kalaam🔥💗\n.\n.\n@al_makkahh__\n_ʟ ɪ ᴋ ᴇ ❤️ { tag / share }✈️\nᴄ ᴏ ᴍ ᴍ ᴇ ɴ ᴛ 🌸\n𝙆𝙀𝙀𝙋 𝙁𝙊𝙇𝙇𝙊𝙒𝙄𝙉𝙂 🦋\n———————————\n ♛ @al_makkahh__ ♛\n------------------------------\n ♛ #_macca_madina_ ♛\n———————————\nTURN 🔛 POST NOTIFICATION 🔔”\n———————————\ns ʜ ᴀ ʀ ᴇ ♻️ REPOST ⚡️\n\n . ✦ * .　　　　　　　　　　. ✦ . . 🥺 .　　　　　　　　　　　　　.　　　ﾟ .　　　　　　　　　　　　　. 　　　　　　　　　　　　　　　✦ 　　　　　. 　　　　　　　.\n 💘\n　　　　　　*　　　　　　　　　　　.\n.　　　　　　　　　　　　　. 　　✦\n#yaallah\n#yarasoolallahﷺ  #allahuakbar #_macca_madina_  #instagram #islamic #allah #islam  #madinah #eidemiladunnabi #ahlebait #prophetmuhammad #muslim #imamali #jummamubarak #imamhussain #makkah #masjidnabawi #kabala #urserazvi #ghouseazam #khajagareebnawaz #maslakeaalahazratzindabad #aalahazrat #tajushshariah #viralvideos .,"khajagareebnawaz, _macca_madina_, allah, maslakeaalahazratzindabad, islamic, imamali, aalahazrat, kabala, allahuakbar, yarasoolallah, muslim, viralvideos, urserazvi, ghouseazam, instagram, makkah, masjidnabawi, imamhussain, islam, madinah, prophetmuhammad, eidemiladunnabi, tajushshariah, ahlebait, jummamubarak, yaallah",al_makkahh__
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461455070_536561265445733_2319369469218497049_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=gY-AcVVzqQ4Q7kNvgGH1kwP&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBVgVX1jEf7ivOvlwFzDjhDK01EtkkHRfqk9STmewdJMQ&oe=66FDD3C1&_nc_sid=49ed71,"How sad it is that for the sake of worldly degrees, people spend half their lives studying and for the sake of Allah's book, they go to someone and learn the Quran. \n\nکتنے افسوس کی بات ہے کہ لوگ دنیاوی ڈگریوں کی خاطر اپنی آدھی زندگی پڑھائی میں لگا دیتے ہیں اور اللہ کی کتاب کی خاطر ( قرآن ) کسی کے پاس جا کر قرآن سکھتے ہیں۔ \n\nFollow @zainab_muhammadi_ for more islamic reminders 🌹 \n \nIf you have wish to learn Qur'an with basic then download the Madani qaida app\n\n  App link:- \nhttps://play.google.com/store/apps/details?id=com.dawateislami.madaniqaida.pro \n\nصدقہ زاریہ سمجھ کر Share kare\n\nFollow me @zainab_muhammadi_ not for increase my followers if you want to know about حدیث نبوی and also tafseer of قرآن پاک\n\n#islamic#islamicreminders#islam#allah#ﷺ#muhammadﷺ# hadeesenabwiﷺ# quran#muslimah#","muhammad, islam, allah, islamic, muslimah, islamicreminders",zainab_muhammadi_
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461369783_1367456214659019_9217456588229951955_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=OoEcKlUtRVEQ7kNvgGKEhhJ&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYB1io1E-2UHatnOQ9HB_QFe1LHUsO97j3fLZMrkKE47kQ&oe=66FDCC9A&_nc_sid=49ed71,#kuranıkerim #kuran #kuranokuyorum #diniyazılar #islam #islamfelsefesi #hayatkitabıkuran #dinisözler #resulullah #allahınelçisi #allah #peygamber #hzmuhammed #ayet #vahiy #allah #allahaşkı #dua #kesfet #kesfetteyiz #keșfet #keşfetteyiz #kesfetteyim,"allah, dinis, hzmuhammed, allaha, islamfelsefesi, dua, diniyaz, kuranokuyorum, ayet, islam, kesfet, resulullah, kuran, hayatkitab, kesfetteyiz, kesfetteyim, ke, peygamber, vahiy",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/461422707_1702389767176944_6073600962865317457_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=rtZkDPRPkh4Q7kNvgF4Pi1u&_nc_gid=f2657c4f99a047b38c490fcc0ab1e32f&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBizV_XGY9CGS26hhyABwa1SepaAsD-brkuGCpZ9fEJhw&oe=66FDB813&_nc_sid=49ed71,Allah 🖤🤍\n.\n.\n.\nTag Your Friend 😊\n\n \n Follow This page @iman._.boost  for beneficial ☺️ \n\n#Allah #islamic #islam #islamicquotes\n\n#islamicreels #deen #deenislamquotes\n\n#deenreels #deenislam #islamicreminders\n\n#muslim #muhabbat #love #explore\n\n#explorepage #viral,"islamicreminders, islam, islamicreels, islamic, deenislam, Allah, muslim, muhabbat, deenreels, islamicquotes, explore, explorepage, viral, love, deen, deenislamquotes",iman._.boost
