Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447796568_393925896978174_2014654871040937844_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=yrhQvW5NUyQQ7kNvgGPNHhq&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAmeO6cO7z8AFnrsXnw0wfKb6m_75pgyQQS1rn9HTmjIw&oe=6663F637&_nc_sid=49ed71,"🌞 Walking up to Shanti Bee, smelling the inscence, watching the wind blow in the trees, seeing the little fluffy clouds above the sign...\n\n🧡 Getting a friendly welcome from @vinyarnsa and her yogis after Strong Vinyasa Flow... Realising we've co-ordinated on class themes (this evening was all about balance @shantibeeshanti!!) \n\n💫 Strong Flow followed by Gentle Flow, a perfect match for a Monday night I think\n\n🐝 Feeling the vibes tonight, thank you as always Shanti Bees 🐝\n\n#yoga #yoganewcastleupontyne #yogapractice #yogateacher #yogajourney #mindfulness #breathwork #pranyama #gentleyoga #inclusiveyoga #balance #beginneryoga #shantibee","yogajourney, gentleyoga, inclusiveyoga, shantibee, yoganewcastleupontyne, breathwork, yogapractice, yogateacher, beginneryoga, yoga, pranyama, balance, mindfulness","shantibeeshanti, vinyarnsa"
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/444976149_316595051503484_5531988284320676012_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=nrd49SYOIDgQ7kNvgEleeo3&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYDd96Bn6qfekcHbN8dfD9XDjT7tpa4LRaFXpIt3xa9obg&oe=666408D6&_nc_sid=49ed71,"Don't forget! There's a 10% off discount on all of our summer programs until 6/30! This includes all of our camps, which still have space!! Enter POMsummer at checkout! \n\nRegister at Piecesofmind.org\n\n #summercamp2024 #summercamp #bethlehempennsylvania #summercampfun #LehighValley #bethlehempennsylvania #LehighValley #mindfulness #mindfulnessmatters #visitpa #allentown #allentownpennsylvania #emmauspa #lehighvalley #bethlehempa #lehighvalleyevents #emmaus #lehighvalleymoms #macungiepa #discoverlehighvalley #lehighvalleylive #lehighvalleypa #lehighvalleykids #lehighvalleybusiness #lehighvalleyart #allentownpa #macungie #lehighvalleysmallbusiness #bethlehem #lehighvalleyartists","lehighvalleymoms, bethlehempennsylvania, summercamp, bethlehempa, discoverlehighvalley, macungiepa, macungie, lehighvalleykids, lehighvalleysmallbusiness, lehighvalleyart, lehighvalleylive, emmaus, summercamp2024, lehighvalleyevents, lehighvalleybusiness, summercampfun, allentownpennsylvania, lehighvalleyartists, emmauspa, mindfulnessmatters, lehighvalleypa, visitpa, bethlehem, mindfulness, LehighValley, allentownpa, allentown, lehighvalley",
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447210031_1650179735816818_6938665005221640310_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=h2HyUsF2rskQ7kNvgEFtago&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYD5LulyTpXCF_ZyEjvGjlG30X4AZviF1d2aNMkwKUfHxQ&oe=66640E29&_nc_sid=49ed71,"Natarajasana - die Tänzerin 🖤 \n\n💡Zur Verbesserung des Gleichgewichts und der Konzentration, zur Stärkung der Bein- und Rückenmuskulatur, Becken- und Herzöffner \n\n#natarajasana #tänzer #tänzerin #herzöffner #brust #becken #gleichgewicht #balance #balancetraining #yoga #asana #hathayoga #mindfulness #soulspace #soul #seele #yogapractice #yogarosenheim #yogateacher #rosenheim","yogateacher, yoga, hathayoga, seele, brust, natarajasana, becken, soulspace, mindfulness, t, gleichgewicht, rosenheim, balancetraining, soul, yogapractice, asana, balance, yogarosenheim, herz",
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447410203_429218423400218_2722769084474274959_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=POLyFgrP9GMQ7kNvgES18ox&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYDxnJ9Tya1ienLkyEVD9oUrH4k16catMvu6K_ATYRJG2w&oe=6663F4C0&_nc_sid=49ed71,"Ever find yourself caught in a heated argument and wondered, ""Is this really worth it?"" 🤔 \n\nOur latest blog post dives into why protecting your mental health is more important than winning any argument. 🧘‍♀️✨\n\nDiscover practical tips to stay calm, manage conflicts with grace, and prioritize your well-being. Your peace of mind is priceless, and sometimes, walking away is the best victory. 🏆\n\nReady to learn how to keep calm and carry on? Click the [Link in bio] to read more!\n\n#MentalHealth #KeepCalm #ConflictResolution #InnerPeace #WellnessTips #ProtectYourPeace #mindfulness #mentalhealth #breakfree #cultivatepositivity #liveinspired #nevergiveup #believeinyourself #mindsetmatters #goalsetter #positivevibes #successmindset #changeyourlife #motivation #mindset #selfgrowth #positivemindset #selfimprovement #morningmotivation #staymotivated #growthmindset #selfgrowth #happiness #happylife #success","liveinspired, mindset, selfimprovement, positivemindset, InnerPeace, happiness, happylife, KeepCalm, goalsetter, selfgrowth, mindsetmatters, breakfree, growthmindset, mentalhealth, changeyourlife, staymotivated, success, cultivatepositivity, WellnessTips, successmindset, nevergiveup, motivation, mindfulness, ProtectYourPeace, positivevibes, morningmotivation, MentalHealth, believeinyourself, ConflictResolution",
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447875749_122181517856020169_691493956917936043_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Z7_NCqVqk34Q7kNvgE_FJXO&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAujmnnzKvDPOv78PEQb9zUtQVcqx7lbeMJMGtAKkg-vw&oe=6663FEDF&_nc_sid=49ed71,"🌟Você sabia que incorporar práticas de mindfulness e meditação na sua rotina de trabalho pode trazer inúmeros benefícios? Aqui estão algumas razões pelas quais você deve considerar essa abordagem:\n\n🧘‍♂️ Redução do Estresse: O mindfulness e a meditação ajudam a reduzir os níveis de estresse, promovendo uma sensação de calma e relaxamento. Dedicar apenas alguns minutos do seu dia para meditar pode diminuir a ansiedade e melhorar o bem-estar geral.\n🎯 Aumento da Concentração: A prática regular de mindfulness melhora a capacidade de concentração e foco. Com a mente mais tranquila e presente, você conseguirá se dedicar mais efetivamente às suas tarefas, aumentando a produtividade.\n💡 Clareza Mental: Mindfulness ajuda a limpar a mente de distrações e pensamentos excessivos, proporcionando clareza mental. Isso facilita a tomada de decisões e a resolução de problemas complexos no ambiente de trabalho.\n🤝 Melhoria nas Relações Interpessoais: Ao praticar a atenção plena, você se torna mais empático e presente nas interações com colegas de trabalho, melhorando a comunicação e as relações interpessoais.\n📈 Desempenho Aprimorado: Estudos mostram que a meditação pode aumentar a criatividade e a capacidade de enfrentar desafios. Com uma mente mais focada e tranquila, você consegue melhorar seu desempenho e alcançar melhores resultados.\n\n🔄 Como Começar?\nRespiração Consciente: Reserve 5 minutos do seu dia para se concentrar na sua respiração. Inspire profundamente, segure por alguns segundos e expire lentamente.\nMeditação Guiada: Utilize aplicativos de meditação ou vídeos online para orientá-lo em sessões de meditação guiada.\nPausa Mindfulness: Faça pequenas pausas ao longo do dia para praticar a atenção plena. Observe seus pensamentos e sentimentos sem julgá-los.\nIncorporar mindfulness e meditação na rotina de trabalho não requer muito tempo, mas os benefícios são imensos. Comece hoje e sinta a diferença!\n\n#Mindfulness #MeditaçãoNoTrabalho #ReduçãoDoEstresse #AumentoDaConcentração #Produtividade #BemEstarNoTrabalho","AumentoDaConcentra, Produtividade, Mindfulness, Medita, BemEstarNoTrabalho, Redu",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447771041_377291814801065_4217501678569504767_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=uCkPYO7JmxgQ7kNvgEWe9ab&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDS3jxEGIkAaIWDlBOouqSdLlchMkjfzdpLDoWJDitr8A&oe=6663ED04&_nc_sid=49ed71,"SILENCE\n\nPause, Reflection, Stillness, Transcendence\n\nIn the midst of daily stress, future anxiety, and the fear of the unknown, our minds race, creating inner turmoil that reflects in our external world.\n\nHowever, amidst this chaos, there is a sanctuary: Silence.\n\nWhen we slow down our minds, go inward, and dive deeper, we trust in the power of the pause. Silence is more than just putting your phone on airplane mode; it presents a landscape of unburdened possibilities. The most blissful state offers the space to create the reality we want to see.\n\nIn silence, we find:\nClarity - Space to think without distraction, to understand our true desires and intentions.\nHealing - A retreat from the constant noise that wears down our mental and emotional well-being.\nConnection - A deeper bond with our inner self, fostering intuition and inner wisdom.\n\nSilence can promote neuroplasticity—the brain’s ability to reorganize itself by forming new neural connections. This means that in silence, our brains have the opportunity to heal, grow, and develop new pathways that enhance our cognitive functions and emotional resilience.\n\nMany great artists, writers, and thinkers throughout history have attributed their most profound insights and creative breakthroughs to moments of deep silence. In these quiet moments, the mind is free to wander and explore new ideas, leading to innovative solutions and artistic inspiration.\n\nTake time each day to embrace a moment of silence, as challenging as it might be. Find a quiet spot, close your eyes, and breathe deeply. Allow yourself to be still. Listen to the whispers of your soul. In this sacred silence, we discover our true selves and the profound tranquillity that lies within.\n\nRemember, silence is not empty; it is full of answers; it is full of healing.🌿✨\n\n#Mindfulness #HolisticWellness #InnerPeace #EnergyHealing #SelfCare #Silence #Reflection #Stillness #Transcendence","InnerPeace, HolisticWellness, Stillness, Transcendence, Mindfulness, Reflection, Silence, SelfCare, EnergyHealing",
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447862191_2202127123477738_6922919960421550916_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=yxbr0bUdsVoQ7kNvgEvNd_9&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAAMh3IypfO5scOzMkj2oJlIxNUEdWquS-1UYlqKktiXw&oe=6663E950&_nc_sid=49ed71,#mindfulness #gym #training,"gym, training, mindfulness",
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/447782150_447372101222131_5667677877075325820_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=eJn0bq2fj1AQ7kNvgFa5AaV&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCWBoGN0SZbJXqVpi04YgeUCmKPCZFSLiDVEJMPZ3GbjQ&oe=66640820&_nc_sid=49ed71,"Esto literalmente me cambió la vida...👇 \n\n¿Sabes qué es la simplicidad voluntaria? Es un estilo de vida que busca reducir lo material y enfocarnos en lo que realmente importa. Menos cosas, más significado.⚡\n\nEste enfoque puede transformar tu vida 360°, nos libera del consumismo y nos conecta con lo esencial, apreciando experiencias y relaciones por encima de las posesiones. \n\n👉Si quieres practicarla, deshazte de lo innecesario, compra con conciencia, elige experiencias, disfruta el presente y practica la gratitud. No se trata de privarse, sino de elegir conscientemente lo que queremos en nuestras vidas. \n\n¿Te atreves a probar la simplicidad voluntaria? ¡Cuéntame en los comentarios!\n__\n#mindfulness  #mindful #mindfulliving  #simplicidad  #gratitud  #lifecoach  #lifecoaching #yanediaz","lifecoaching, yanediaz, lifecoach, simplicidad, mindful, mindfulliving, gratitud, mindfulness",
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447776124_980542546603803_2371035387953683028_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=6GJnfNDU_TMQ7kNvgF3Xs-v&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAbNigZdt0Vl72in8a6fRvFJ7VvuuxvxGnAvnjRYIdu0A&oe=66641724&_nc_sid=49ed71,"Ter objetivos é diferente de depender deles para ser feliz! Depender é quando você condiciona uma coisa a outra.\n\nEntrar nessa linha de pensamento é cilada! A gente esquece de apreciar com atenção aquilo que já temos, as conquistas já realizadas, o agora!\n\nVocê coloca sua felicidade onde você está?\n\nPsicóloga Stefany Kaderi\nCRP 14/10589\n\n#felicidade #mindfulness #oagora #terapia #psicologia","oagora, felicidade, psicologia, terapia, mindfulness",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/444991133_18401110615077604_2865748676924008359_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=PId05sfKyvwQ7kNvgHMy8WW&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAUwqxKZYotggSZOx8Uf5BslBob3ml97od9BqYQuYhCDQ&oe=66640F02&_nc_sid=49ed71,"🌿El autocuidado es una práctica fundamental para mantener un equilibrio saludable en nuestras vidas. \n\nSe trata de dedicar tiempo y atención a nuestras necesidades físicas, emocionales y mentales para promover nuestro bienestar general.\n\n🙌Cada estrategia de autocuidado que exploramos aquí, desde la práctica del mindfulness hasta el cultivo de la gratitud y la conexión con la naturaleza, nos ofrece herramientas poderosas para gestionar el estrés, mejorar nuestra calidad de vida y cultivar una mayor sensación de calma y serenidad.\n\n¿Por qué es importante el autocuidado para ti? \n\nCuéntanos en los comentarios y comparte tus propias experiencias y consejos de autocuidado. 👀👇\n\n¡Juntos podemos inspirarnos y apoyarnos en nuestro camino hacia una vida más equilibrada y plena! 🌟\n\n#autocuidado #selfcare #estrategias #viñadelmar #vregion #temahatu #mindfulness #actividadfisica #bienestar","mindfulness, actividadfisica, bienestar, autocuidado, selfcare, vregion, estrategias, vi, temahatu",
