Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/399664777_318373904240294_4734030186668970093_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=bLQ8daz5PFAQ7kNvgGbv_M6&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCrTTdmNWfnwsQzYSL5dPA7_DDL9ylSnbJBqdEFgNPZdA&oe=66641C0F&_nc_sid=49ed71,"The hope of the ungodly is like thistledown carried by the wind,\nand like a light frost driven away by a storm;\nit is dispersed like smoke before the wind,\nand it passes like the remembrance of a guest who stays but a day.\n\nBut the righteous live forever,\nand their reward is with the Lord;\nthe Most High takes care of them.\nTherefore they will receive a glorious crown\nand a beautiful diadem from the hand of the Lord,\nbecause with his right hand he will cover them,\nand with his arm he will shield them.\n-- Wisdom 5:1–5, 14–16\n\nThe choice between standing in the rain and yelling at a closed door, and being with my friends inside a space of love and safety, is an easy one. \n\n#genderaffirming\n#openchristian\n#radicalchristian\n#transchristian\n#gaychristian\n#proudally\n#christianally\n#lgbtq","openchristian, christianally, radicalchristian, gaychristian, transchristian, genderaffirming, proudally, lgbtq",
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/280650936_728322761860242_6088729094288342316_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=iKuplBQun4gQ7kNvgFgoMZT&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDEzfwNi9yFymdm8I74tbX5Q0ZAWpGkSj91NmonoVqPkg&oe=6663FC5C&_nc_sid=49ed71,"This week a statement opposing same sex marriage was blocked by bishops in the Anglican Church of Australia's equivalent of parliament. This was in response to two churches who successfully blessed same sex marriage. The statement was designed to prevent that in the future.\n\nThe conservatives who have their own sub-faction called #GAFCON wrote a response about how they literally cried at the decision. GAFCON have previously made headlines for publicly endorsing laws that would see gay people face death in Uganda. Cool and normal /s.\n\nThe @sydneyanglicans shared the news on Facebook and most of the comments were about wanting to publicly name and shame those who voted against the conservative statement on marriage. Also cool and normal /s. \n\nThe Sydney Anglicans and GAFCON members struggle to understand that there are faithful Christians who affirm same sex marriage. They'll either split off from the rest (good riddance) or stick around and continue to throw tantrums.\n\nIt's also worth noting that the Sydney Anglicans are massive hypocrites. They keep referring to Matthew 19 being the definition of marriage, however in 2018 they moved a motion to widen the scope of acceptable divorce within the church. They went beyond Matthew 19 which only allows for sexual unfaithfulness and expanded that to include spousal abuse. That was a good decision to protect suffering people (albeit way too late), but nevertheless is an expansion of the text that they love so much. So if they could do it then, they could do it now for same sex couples.\n\n.\n.\n#deconstruction #exvangelical #deconstructingfaith #deconstructing #openchristian #affirming #affirmingchurch #christianity #sydneyanglicans #anglican","christianity, anglican, openchristian, affirmingchurch, GAFCON, deconstructingfaith, exvangelical, deconstruction, deconstructing, affirming, sydneyanglicans",sydneyanglicans
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/179525613_528147745014874_8502255219094217949_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=yGWIOiFw1sIQ7kNvgHsjtUp&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYA06w6h_uwtQaskdiYdpdioR0dwoFZ-9dDLoWSiazZH7g&oe=66600B5D&_nc_sid=49ed71,Episode 10 — it’s arriving to your favorite platform at 5am EST!,,
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/176310699_462968234967670_3300538443241076117_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=JbK6JyhNR9wQ7kNvgGosA8T&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAZYHc5g05ASWFqFc9Zot3FoRV-qAFUAhjlYMv-vbrtbg&oe=6663E6B9&_nc_sid=49ed71,New cover art will be rolling out soon 😍,,
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/176010057_489126848947917_2916750706694273346_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=IrLeVRg1rWEQ7kNvgHGm0pu&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYDBogGLbUNaeQ2rpLoD113RTdjcT5GYRRc8lyxZZ_BdeA&oe=66641427&_nc_sid=49ed71,Amanda has been waiting her WHOLE LIFE to share this hot take. Tune in to Episode 9 tomorrow to hear all about the badass feminist that is the Proverbs 31 woman!,,
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/173991056_167969311862481_9086226562507653730_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=hTUAaXeSDuAQ7kNvgGN9e6U&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYChkzr-ap-DDqr2WP3ISl21kG47BT6ULQnzoWlqtNM2RA&oe=66641083&_nc_sid=49ed71,"Ep. 8 - CHAIRS and COUPLE = love?\n\nIf you tune in to today’s episode, these are the bookmarks we’re talking about 😅",,
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/173362468_1182793058828219_6344455052598206140_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=b_mB-Qze4S8Q7kNvgEzfVEu&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYB9S84eMNxMiD4sOdV0-mH_3hgWjaPRB__qOSskTH5ilA&oe=66600FBF&_nc_sid=49ed71,New podcast episode out tomorrow! This one will tackle 1 Corinthians!\n.\n.\n.\n#1corinthians #biblefacts #bible #biblestudy #gayandchristian #podcast #christianpodcast #affirmingchristian #openchristian #openchristianity #progressivechristian #progressivechristianity,"bible, gayandchristian, christianpodcast, openchristian, openchristianity, biblefacts, podcast, progressivechristian, biblestudy, 1corinthians, affirmingchristian, progressivechristianity",
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/170978068_1202753736826333_5115526298547562370_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=pZhdICcZgYcQ7kNvgGmHwV8&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYCCbAm5RG4wVcPNlh2hsTC0yEI5U6mR2iKbP4fmMqth5A&oe=66641ABD&_nc_sid=49ed71,Do you know someone who says they’re a Christian but they don’t behave like Christ in even the slightest way?\n\nWe’re coming for them tomorrow 😉,,
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/168836803_480053806436822_4029177654308942586_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Qs9ShBQTslcQ7kNvgFvOToA&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAR9ZyenvPdIpDZvZvRWvaSl4HByagVvPKk39tf-tXQaw&oe=666402D3&_nc_sid=49ed71,We’re partway through season two 💜 and new episodes are STILL dropping every Friday! \n\nBe sure to subscribe and download our episodes for your Friday commute (from your bed to your WFH desk if you’re still working from home 😉),,
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/162880354_4004401879620043_7724304009381304258_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=dDMDShdfML8Q7kNvgFJbggJ&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYANJ68joOWG9bStZGSYYKiS5UFoKsMSuyNg6QkkdmpmBQ&oe=665FF60E&_nc_sid=49ed71,Repost from @queerchristianfamilyvalues\n•\nClip from our upcoming “Episode Zero: Where have we been?!”. @andrewharrisoncox and @mralexburchnell discuss what they’ve been up to during the hiatus and you will get an idea of what to expect for the season. Subscribe to the show by searching “Queer Christian Family Values” wherever you listen!\n.\n.\n.\n#itsgay #thetea #hermeneutics #centurion #jesus #christian #progressive #openchristian #openchristianity #progressivechristian #progressivechristianity #lgbtchristian #lgbtqchristian #podcast #queerpodcast,"hermeneutics, itsgay, centurion, openchristian, openchristianity, podcast, progressivechristian, progressivechristianity, christian, lgbtchristian, queerpodcast, lgbtqchristian, jesus, progressive, thetea","mralexburchnell, queerchristianfamilyvalues, andrewharrisoncox"
