Filename,URL,Caption,Hashtags,Mentions
0.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/444486667_17866010337114634_8500374312363649834_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=01GQpcQbQ3wQ7kNvgHK-htZ&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYDE0t7uuNV7XEwkj6ptgIuoIsDCB6GKe1F8kT47xFfEuA&oe=66640A99&_nc_sid=49ed71,"Parade of Planets: the Sacred Bridge 🌈 Mmmm can you feel it? I woke up just wanting to dance this morning! 🧚‍♀️\n\nThere are two more potent and majestic alignments that balance the parade to amplify harmony and union of the masculine and feminine energies, swipe for full details of this incredibly beautiful gateway 💜👉🏻\n\nDM Blueprint 💎 for access to the Free 2 Part Body Temple Blueprint Masterclass and first access to the upgrades dropping soon! \n\n#bodytemple #blueprint #paradeofplanets #alignment #innerunion #asabovesobelow","alignment, bodytemple, innerunion, blueprint, paradeofplanets, asabovesobelow",
1.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/441603238_18022758041233792_495490452025913975_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=pjwbVk-aWRUQ7kNvgEWtQBa&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAaMPMXL3t8E8Tpo3baWl3IRpwJ8-s24w-Zj0Dh3gk-dA&oe=66642318&_nc_sid=49ed71,"Has the chatter of your mind been blocking you from Listening to your Heart? What if I told you, you have the ability to change that?\n\nI was the same way, until I found particular practices that helped me shift my reality. These practices, such as Somatic Breath work, Sound Healing and sitting with the Spirit of Cacao, I do them on my and also facilitate them in healing circles. And guess what? We will be doing them on the Summer Solstice Healing & Activation Circle I am hosting on June 15! 🎉\n\nHere’s the schedule :\n\n✨ 10 am: Gathering & Opening up Sacred Space\n\n✨ 10.30 am: Making The Cacao\n\n✨ 11 am: Cacao Ceremony - Honoring the Wisdom of the Earth\n\n✨ 11.30 am: Somatic Breath Practice & Sound Healing - Cleansing the Vessel\n\n✨ 12.15 pm: Sacred Practice of the Woman\n\n✨ 1.15 pm:  Illuminating our Light Ceremony - Rebirth\n\n✨ 1.45pm:  Closing Circle\n\n👉🏼 Not only you will learn how to make Cacao and work with her Spirit, but also take some of it home, so you can do your own Personal Ceremony! 💕\n\nCome gather, meet and connect with other Powerful Women that are on the same path as you! \n\n💕 Energy Exchange: $65 per person\n\n🏡 Location: My home in Lawrence. Address will be shared upon registration. \n\n👉🏼 Comment YES! Below and I will send you the link to register personally.\n\nRukmani 🧝‍♀️\n\n💜 You can Change the world #OneHeartAtATime starting with yours 💜\n.\n.\n.\n📧 Subscribe to my Email list and receive 4 different kinds of Activation, including a Womb Cleansing Journey. Click on the link in my bio.\n.\n.\n.\n🔮 Resonate with my energy? Check out my offerings and schedule your FREE consultation by clicking on the link in my bio\n.\n.\n.\n🎙️ Listen to The Rise Of The Feminine Podcast on ITunes, Spotify & YouTube\n.\n.\n.\n✨ Follow @theheartalchemista for more Elemental Alchemy and Spiritual Awakening Guidance \n\n#CacaoCeremony #SummerSolstice2024 #IntiRaymi #somaticbreathwork #SacredCacao #SoundHealing #soundhealingtherapy #EnergyWork #energyhealing #energyhealer #lightlanguage #lightlanguagehealing #innerdance #kundaliniactivationprocess #spiritualretreats #spiritualawakening #spiritualawakeningcoach #womensempowermentcoach #womenshealing #shamanichealing","spiritualretreats, womensempowermentcoach, SoundHealing, womenshealing, SummerSolstice2024, OneHeartAtATime, EnergyWork, CacaoCeremony, shamanichealing, lightlanguagehealing, soundhealingtherapy, IntiRaymi, energyhealing, spiritualawakeningcoach, SacredCacao, innerdance, kundaliniactivationprocess, energyhealer, lightlanguage, somaticbreathwork, spiritualawakening",theheartalchemista
2.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447748125_960355592502011_7346401814990185688_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=LoGKlwfdYmEQ7kNvgGZOzWr&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYAi1f6G89cuBX4BVey8-JOIyjSN6yD6_umVZw2nPtFZXg&oe=666416F3&_nc_sid=49ed71,"Are you Heart broken, Divorced feel separated from your partner or is he / she taken by someone from you or even you Do you want your ex back here is the time you end worries and pain \nMessage me for anytype of spell WhatsApp number +234 905 674 6754 dreromoselespellcaster4@gmail.com\n#osho  #rumiquotes  #keanu reeves #denzelwashington #bobmarley #highfrequency #naturalcures #thichnhathanh #spiritualgrowth #innerwisdom #knowthyself #natural remedies #plantbased #drsebi #veganfood #spiritualawakening #healingvibrations #thirdeyevision #meditationquotes","knowthyself, veganfood, naturalcures, keanu, healingvibrations, drsebi, plantbased, meditationquotes, thichnhathanh, thirdeyevision, natural, bobmarley, rumiquotes, spiritualgrowth, innerwisdom, osho, spiritualawakening, highfrequency, denzelwashington",gmail.com
3.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447219989_417410437835817_3898816708003979380_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=aCmj8bjHl1kQ7kNvgHIbvYl&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBGZGBzyrgFsWE6hl21wyLmV7E2AgzAaujSb7j7GFNK6A&oe=6663FAA4&_nc_sid=49ed71,Coucou comment allez vous mes abonnés❓je suis disponible en privé pour tout vos tirages et les problèmes particuliers tel que: le retour ex🚶déblocage d'amour🤲 stabilisation du couple 💝nettoyage spirituel🌇 etc ...\n\n#medium #psychic #tarot #love #psychicmedium #m #spirituality #spiritual #healing #meditation #oracle #spirit #guidance #reiki #o #spiritualit #voyance #mediumship #dium #intuition #psychicreading #lightworker #witch #healer #clairvoyant #tarotcards #astrology #a #spiritualawakening #tarotreading,"spiritual, tarot, psychicmedium, witch, tarotcards, o, a, psychicreading, lightworker, reiki, medium, intuition, psychic, spirit, spiritualit, tarotreading, m, love, guidance, healer, astrology, spirituality, healing, voyance, mediumship, dium, meditation, spiritualawakening, oracle, clairvoyant",
4.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/445423916_881011240708245_5274583867649041486_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=3TV82Y_X9TsQ7kNvgFL2L8I&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYBECKksJ58q6eFdi53AgLprOQ8pzIeJvSbRH2gmhV7CdA&oe=66640F91&_nc_sid=49ed71,"🌌 ""You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul."" 🌌\n\nIn a world filled with external influences, it's crucial to remember that true growth stems from within. 🌱✨ Our souls hold the key to our spiritual journey, guiding us toward enlightenment and self-discovery. 🌟💫\n\nReflect on your path: How do you connect with your inner self and foster your own growth? 🌿🧘‍♀️ Let's dive deep into our personal experiences and share the unique ways we nurture our spiritual essence. 🌺🔮\n\n#InnerGrowth #SoulJourney #SpiritualAwakening #SelfDiscovery #Mindfulness #BeYourOwnTeacher #PersonalGrowth #DeepThoughts #SpiritualCommunity #InspirationDaily #ConnectWithin","DeepThoughts, Mindfulness, PersonalGrowth, ConnectWithin, InnerGrowth, SoulJourney, SpiritualCommunity, SelfDiscovery, BeYourOwnTeacher, SpiritualAwakening, InspirationDaily",
5.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447774910_18280569514201657_9094186111075375009_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=dkuBUim7Z9EQ7kNvgHZ8hq9&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAgwgOXO7HDwezJX60VvGIt7IP-rOupLeTOXQI3BFEblw&oe=66641268&_nc_sid=49ed71,"Do you know how all the manifestation teachers tell you that getting what you want is about DECIDING that it’s yours no matter what?\n\nWhen I started my business, that’s absolutely what I did. I didn’t worry about the algorithm, or like & followers count. I didn’t use any tech (I didn’t even have a website!). I didn’t set up any funnel. I decided I was going to be successful, I got into alignment, and I “manifested” it through aligned action.\n\nIn this sense, “deciding” is the equivalent of “finding and unleashing your voice.” It’s an action (or a sequence of actions done continuously and consistently over time) that allows you to individuate and carve your own path. It’s the equivalent of evolving from being a toddler to being a teenager.\n\nIt works wonders. BUT ...\n\nWhat happens when you’re ready to *not* be a teenager anymore?\n\nWhen you’ve found your voice and now you actually need to start operating like an adult in your business and life?\n\nWhen simply “deciding” doesn’t cut it anymore?\n\nThat’s when true spiritual mastery comes in. B/c you know that your “deciding” era is over. And now it’s the time to SURRENDER TO THE PLAN THAT SPIRIT HAS IN STORE FOR YOU.\n\n>> Through finding and unleashing your voice, you’ve realized that you actually do.not.have control over your life.\n\n>> Through alignment you’ve realized that there’s a greater plan working itself thru you.\n\nIt’s not about willpower. It’s not about your mind, determination, and grit. It’s about aligning with the Divine Path and Destiny that God has devised for you.\n\nThis is actually the real “work” - a feminine, surrendered exploration of your own worthiness and alignment with Onenness.\n\nThe “work” now is becoming One with Love and Universal Life Force. It’s about becoming a conduit for it and letting your daily life and sacred work be an emanation of THAT.\n\nIf you’re ready for THIS type of work, my “Surrender to your Divine Destiny” channeling sessions are still available at a HUGELY discounted price (reg. is $197 currently but will go up.) We’ll unlock *the* key to your sacred path but you gotta act NOWWWW. Click the link in bio to book yours. \n\n🦩",,
6.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447519092_17916800015927100_1192813461981323251_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=tOttHXhXSywQ7kNvgEZ7X8z&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYAa_BHOmcYHkZY2MNnko2ejrdvLbFO39ONG7sXGFAwlFg&oe=66641391&_nc_sid=49ed71,"Since so many of you have asked - I’m offering video call readings this week 🥰\n\n🔮 £25 for 25-30 minutes via Instagram or Facebook video call. \n🔮 Ask one question or have a general reading. \n🔮 Message me directly to book!\n\nIf you would like to book a reading with me, please contact me via one of these options:\n\n✨Book online through my Ko-Fi shop: LauraArcanaTarot (link in b i o)\n✨Facebook: Laura Arcana - Tarot Reader\n✨Instagram: @LauraArcanaTarot\n✨Email: LauraArcanaTarot@gmail.com\n✨Visit me for in person readings: Freesista Vintage, 7 Mill Lane Mews, Ashby-De-La-Zouch, LE65 1HP\n\n#tarot #livereading #videocalltarot #spirituality #tarotreading #astrologypassion #tarotreader #cardreading #tarotreadersofinstagram #spiritualawakening #tarotreadings #intuition #personalisedreadings #tarotreadersofig #tarotjournal24 #tarotcards #tarotwisdom #tarotreader #tarotonline #tarotdeck #astrology #tarotspread #tarotdecks #intuitivemessage #tarotdaily #tarotreadingsonline #intuitiveguidance #livetarot #livetarotreading #livetarotreadings #livetarotcardreading","intuitivemessage, tarot, livetarotreading, personalisedreadings, tarotreader, tarotcards, intuition, tarotdecks, tarotreadingsonline, tarotdaily, intuitiveguidance, livetarotcardreading, tarotreading, tarotspread, tarotreadings, livereading, tarotreadersofinstagram, astrology, spirituality, livetarotreadings, tarotdeck, cardreading, livetarot, astrologypassion, tarotonline, tarotreadersofig, videocalltarot, spiritualawakening, tarotwisdom, tarotjournal24","LauraArcanaTarot, gmail.com"
7.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447443238_770616441850983_3025009142479236_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=T50pXw6t7s0Q7kNvgHSxBn3&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBE9_qphMymAxlCX3nIX8hopVn-Im8nlIHXps1T8hTV-Q&oe=66642897&_nc_sid=49ed71,#1 psychic love specialist Are you sad lost of hope wanting to be with the one you love but to much. Interferences In The way want to bring back an ex restore your relationship? \n\nI can help you want to know when you well able to find love \nconfused don’t no what path to take Career troubles ? I am able to help you where others cannot I can tell u everything You Wanna Know No Sugar coating 🔮 \n\nTry a a psychic Reading Now To Find out what’s in store for you 15$ \nSpecial Answers any questions 100% guarantee call text or dm for a reading or  more info also have what’s app 717-551-0491 ☎️ \n\n#california #miami #atlanta #boca #southcarolina #houston #tampa #washingtondc #sarasota #nevada #virginabeach #orlando #toronto #vegas #seattle #losangeles #psychic #psychicreadings #portlandoregon #cancun #bahamas #texas #ny #nyc #newjersey #paris #astrology #spiritualawakening #energy,"cancun, portlandoregon, texas, ny, nevada, paris, virginabeach, boca, newjersey, 1, houston, psychic, toronto, sarasota, nyc, bahamas, astrology, miami, southcarolina, seattle, atlanta, psychicreadings, vegas, washingtondc, orlando, spiritualawakening, california, energy, losangeles, tampa",
8.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t39.30808-6/447733286_18109408276375779_8427973854257033923_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=SnD9Ra2GLf4Q7kNvgH3Q8_W&edm=AA0rjkIAAAAA&ccb=7-5&oh=00_AYBdZkxGNVN2gEYKRnvQElAE_GY4xtYCBB7mL_jXcClQUw&oe=6664156D&_nc_sid=49ed71,#tarot #tarotcard #tarotreading\n#tarotreader\n#tarotonline #psychic #oracle #healing #crystals #divination #meditation #witchcraft #reiki #spiritualawakening #astrologia #fypシ❤️💞❤️,"divination, tarotonline, reiki, tarot, meditation, psychic, fyp, witchcraft, spiritualawakening, tarotcard, healing, tarotreader, astrologia, tarotreading, crystals, oracle",
9.jpg,https://scontent-zrh1-1.cdninstagram.com/v/t51.29350-15/447292110_487487550388288_6015383219524814748_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=XQbbcZbSkJcQ7kNvgFhUjMz&edm=AA0rjkIBAAAA&ccb=7-5&oh=00_AYBci88qfPuE9spj3Alkzq0Y8am28Se2b132Fp0Wn6w8Lg&oe=6664019E&_nc_sid=49ed71,"Puppy love! ❤️ My beautiful gorgeous fluffy mischievous bunnies. I loooooooove them soooooo much I could just burst. No matter what life is doing, or if I'm tired or just want a cuddle, I bury my face in their fur and everything feels great again ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️\n#chants #divination #magical #manifestation #spells #magic #spiritual #witch #witchcraft #goddess #goddesspower #angels #rituals #Incantations #awakening #candlemagic #elementalmagic #treespirits #empowerment #eclecticwitch #enchantment #fairys #spiritualawakening #newmoon #fullmoon #lunar #crystals #divinefeminine #calming #healing","spiritual, enchantment, empowerment, manifestation, witch, treespirits, eclecticwitch, divination, fullmoon, Incantations, magical, divinefeminine, crystals, chants, spells, candlemagic, healing, lunar, goddesspower, goddess, fairys, newmoon, rituals, magic, witchcraft, elementalmagic, spiritualawakening, awakening, angels, calming",
